citrus fruit,semi-finished bread,margarine,ready soups,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32
sausage,ham,hamburger meat,whole milk,soda,softener,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,rolls/buns,specialty bar,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,pet care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,other vegetables,pastry,bottled water,soda,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,liquor (appetizer),hygiene articles,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,ham,other vegetables,ice cream,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,pastry,snack products,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,root vegetables,pickled vegetables,soda,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,whole milk,curd,pasta,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,other vegetables,hard cheese,frozen meals,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,packaged fruit/vegetables,UHT-milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cream cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,beverages,white bread,pasta,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,whole milk,curd,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,snack products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,coffee,long life bakery product,detergent,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,whole milk,bottled water,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,UHT-milk,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,root vegetables,frozen vegetables,domestic eggs,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,frozen vegetables,rolls/buns,canned beer,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,whole milk,rolls/buns,margarine,baking powder,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,whole milk,curd,yogurt,hard cheese,frozen meals,frozen dessert,domestic eggs,cereals,baking powder,fruit/vegetable juice,soap,,,,,,,,,,,,,,,,,,,
chicken,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,processed cheese,brown bread,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,rolls/buns,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,curd,yogurt,rolls/buns,brown bread,bottled water,bottled beer,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,curd,rolls/buns,oil,margarine,specialty bar,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,tropical fruit,yogurt,UHT-milk,frozen vegetables,rolls/buns,bottled water,skin care,,,,,,,,,,,,,,,,,,,,,,,
meat,beef,herbs,whole milk,frozen dessert,rolls/buns,semi-finished bread,flour,oil,coffee,potted plants,,,,,,,,,,,,,,,,,,,,,
yogurt,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,other vegetables,whole milk,brown bread,pastry,salty snack,abrasive cleaner,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,domestic eggs,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,bottled beer,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,butter,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,salt,jam,sparkling wine,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,curd,sliced cheese,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,UHT-milk,artif. sweetener,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,fruit/vegetable juice,canned beer,white wine,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,sliced cheese,cat food,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,beef,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,snack products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,onions,other vegetables,whole milk,brown bread,white wine,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,whole milk,curd,hard cheese,soda,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,pastry,margarine,ready soups,instant coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,pip fruit,root vegetables,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,onions,herbs,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pastry,flour,rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,beverages,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,rolls/buns,semi-finished bread,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen dessert,brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,packaged fruit/vegetables,condensed milk,frozen vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,
vinegar,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,whipped/sour cream,cream cheese,rolls/buns,baking powder,seasonal products,napkins,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,margarine,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,chicken,citrus fruit,berries,onions,whole milk,curd,yogurt,frozen vegetables,rolls/buns,margarine,soda,liquor (appetizer),cake bar,candy,seasonal products,skin care,,,,,,,,,,,,,,,
packaged fruit/vegetables,whole milk,dessert,yogurt,UHT-milk,margarine,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,
pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,grapes,yogurt,rolls/buns,margarine,canned fruit,bottled water,soda,misc. beverages,candy,female sanitary products,shopping bags,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,yogurt,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,whole milk,frozen vegetables,brown bread,pastry,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,grapes,UHT-milk,brown bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,herbs,other vegetables,whole milk,coffee,female sanitary products,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,curd,rolls/buns,organic products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,other vegetables,whole milk,butter,soft cheese,hard cheese,domestic eggs,pasta,coffee,candles,,,,,,,,,,,,,,,,,,,,,
meat,beef,tropical fruit,pip fruit,other vegetables,whipped/sour cream,soft cheese,frozen meals,margarine,coffee,fruit/vegetable juice,potted plants,,,,,,,,,,,,,,,,,,,,
meat,other vegetables,whole milk,beverages,rolls/buns,margarine,chocolate,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkey,root vegetables,other vegetables,curd,bottled beer,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,onions,whole milk,curd,yogurt,rolls/buns,pasta,mustard,dog food,canned beer,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuts/prunes,whole milk,semi-finished bread,jam,soda,potted plants,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,root vegetables,whipped/sour cream,beverages,cream cheese,waffles,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
berries,whole milk,whipped/sour cream,margarine,organic products,fruit/vegetable juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,bottled beer,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,frozen vegetables,pet care,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,chicken,citrus fruit,berries,root vegetables,curd,beverages,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,white bread,brown bread,sweet spreads,dog food,brandy,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,butter milk,yogurt,sliced cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,berries,whipped/sour cream,beverages,flour,oil,soda,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,
white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato products,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,onions,yogurt,rolls/buns,coffee,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,hamburger meat,UHT-milk,soda,canned beer,bathroom cleaner,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
fish,cream cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,whole milk,frozen vegetables,brown bread,vinegar,bottled beer,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sliced cheese,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,cream cheese,flour,coffee,bottled water,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,frozen vegetables,ice cream,bottled water,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,
