age,job,marital,education,default,balance,housing,loan,contact,day,month,duration
62,retired,married,secondary,no,816,no,no,cellular,1,sep,28
31,technician,married,secondary,no,2363,yes,no,unknown,13,may,247
35,admin.,married,secondary,yes,0,no,yes,unknown,4,jul,105
42,blue-collar,married,secondary,no,117,yes,no,unknown,9,may,147
43,management,divorced,tertiary,no,36,no,no,cellular,26,may,118
35,blue-collar,married,primary,no,378,yes,no,unknown,16,may,427
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153
38,entrepreneur,married,secondary,yes,15,yes,no,cellular,10,jul,121
35,services,married,secondary,no,1453,yes,no,unknown,28,may,199
54,management,married,tertiary,no,55,yes,no,cellular,2,jun,112
55,services,divorced,secondary,yes,-404,yes,no,cellular,22,jul,502
55,blue-collar,single,primary,no,1187,yes,no,unknown,2,jun,193
38,technician,single,secondary,no,258,no,yes,unknown,20,jun,587
34,technician,married,tertiary,no,691,yes,yes,unknown,2,jun,70
61,retired,married,secondary,no,5207,no,no,cellular,11,sep,336
40,admin.,single,secondary,no,263,yes,no,unknown,6,may,231
50,entrepreneur,married,secondary,no,665,no,no,telephone,17,nov,238
48,management,married,secondary,no,2294,yes,no,unknown,26,may,251
40,technician,married,tertiary,no,0,no,no,cellular,19,aug,44
81,retired,married,secondary,no,1,no,no,cellular,19,aug,65
44,management,married,tertiary,no,17361,no,no,unknown,18,jun,476
55,services,married,secondary,no,-31,no,yes,cellular,13,aug,81
31,admin.,married,secondary,no,236,yes,yes,telephone,4,may,211
44,entrepreneur,single,tertiary,no,1136,yes,yes,cellular,3,apr,345
36,self-employed,married,tertiary,no,16,yes,yes,cellular,18,jul,95
53,entrepreneur,married,secondary,no,-118,yes,no,unknown,9,may,101
33,blue-collar,married,secondary,no,26,yes,no,cellular,17,apr,342
47,housemaid,married,primary,no,201,yes,no,cellular,7,aug,58
43,technician,divorced,secondary,no,1413,yes,no,telephone,28,jul,75
37,admin.,married,secondary,no,7,yes,no,cellular,27,may,224
28,management,single,tertiary,no,231,yes,yes,cellular,25,jul,568
31,management,single,secondary,no,36,no,no,cellular,27,aug,105
26,student,single,secondary,no,-147,no,no,unknown,4,jun,95
33,technician,married,tertiary,no,8023,no,no,cellular,30,nov,107
57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43
56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471
53,housemaid,married,primary,no,2581,no,no,cellular,15,apr,99
48,technician,married,secondary,no,7020,no,no,cellular,6,aug,80
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364
37,technician,married,secondary,no,64,yes,no,cellular,12,may,239
52,blue-collar,married,secondary,no,60,no,yes,cellular,26,aug,196
30,technician,single,tertiary,no,60,yes,yes,unknown,7,may,306
40,technician,single,tertiary,no,445,yes,no,cellular,24,jul,631
48,blue-collar,married,secondary,no,705,no,no,unknown,13,may,108
33,technician,single,tertiary,no,123,no,no,cellular,19,aug,264
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257
25,student,single,secondary,no,1790,no,no,cellular,17,apr,224
40,blue-collar,married,secondary,no,498,yes,no,cellular,8,may,55
31,technician,single,tertiary,no,-162,yes,no,cellular,18,may,380
48,blue-collar,married,primary,no,1092,no,yes,cellular,18,nov,79
28,admin.,single,secondary,no,26,yes,no,cellular,7,may,227
27,technician,single,secondary,no,15,yes,no,cellular,25,jul,67
46,services,married,secondary,no,0,yes,no,cellular,22,jun,154
53,management,married,secondary,no,66,no,yes,telephone,8,jul,141
43,entrepreneur,married,secondary,no,59,no,no,unknown,13,may,437
50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218
59,admin.,married,secondary,no,817,no,no,cellular,9,apr,304
26,services,single,secondary,yes,-162,yes,no,cellular,15,may,44
30,technician,single,secondary,no,102,yes,no,unknown,7,may,614
37,technician,married,tertiary,no,6968,no,no,cellular,1,jun,175
55,admin.,married,secondary,no,1102,yes,no,unknown,15,may,126
31,technician,single,tertiary,no,969,no,no,cellular,15,jun,95
35,blue-collar,married,secondary,no,262,no,no,cellular,2,jul,96
35,management,married,secondary,no,1160,yes,no,unknown,27,may,116
49,management,divorced,tertiary,no,1405,no,no,unknown,8,jun,29
30,blue-collar,single,secondary,no,445,yes,no,cellular,16,apr,218
38,self-employed,married,secondary,no,746,no,no,unknown,20,jun,256
59,management,single,secondary,no,671,yes,yes,cellular,29,jan,219
38,technician,single,secondary,no,4366,yes,no,cellular,29,jul,188
41,blue-collar,married,secondary,no,4900,yes,no,telephone,31,jul,121
29,entrepreneur,married,secondary,no,452,yes,no,unknown,27,may,347
36,blue-collar,married,secondary,no,1587,yes,no,cellular,28,jul,200
27,services,single,secondary,no,266,no,yes,cellular,7,jul,232
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225
30,management,single,tertiary,no,19358,no,no,cellular,19,nov,258
41,blue-collar,married,secondary,no,338,yes,no,unknown,14,may,87
43,blue-collar,married,primary,no,757,yes,no,unknown,9,may,315
51,blue-collar,divorced,unknown,no,10287,yes,no,unknown,29,may,117
40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267
30,admin.,single,secondary,no,3809,yes,no,unknown,3,jun,159
66,retired,married,primary,no,747,no,no,telephone,28,jan,203
34,management,single,tertiary,no,84,no,no,cellular,5,feb,231
58,retired,divorced,unknown,no,5920,yes,no,cellular,23,jul,255
35,technician,single,secondary,no,-51,no,no,unknown,2,jul,134
27,technician,single,secondary,no,235,yes,no,cellular,12,may,13
37,technician,single,secondary,no,5436,yes,no,cellular,6,may,7
36,blue-collar,single,secondary,no,168,yes,no,telephone,12,may,52
42,housemaid,single,primary,no,5774,yes,no,unknown,15,may,54
56,blue-collar,divorced,primary,no,3021,no,no,unknown,9,jun,419
52,retired,divorced,primary,no,353,no,no,cellular,31,jul,395
40,services,married,secondary,no,-342,yes,no,unknown,26,may,754
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,16,may,261
36,blue-collar,married,secondary,no,439,yes,no,unknown,21,may,260
29,management,single,secondary,no,584,yes,no,unknown,16,jun,541
25,services,married,secondary,no,72,yes,no,cellular,23,jul,305
47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,30,jul,71
52,unemployed,married,secondary,no,-9,no,no,unknown,9,jun,123
23,management,single,tertiary,no,736,yes,no,cellular,30,apr,119
49,entrepreneur,divorced,secondary,no,32,no,no,cellular,5,feb,128
49,services,married,secondary,no,1122,no,no,cellular,4,aug,143
50,technician,married,secondary,no,-568,yes,yes,unknown,28,may,860
48,admin.,married,secondary,no,112,no,no,cellular,18,aug,139
35,unemployed,single,secondary,no,2116,yes,no,cellular,13,may,409
42,services,married,secondary,no,-91,yes,yes,cellular,5,feb,43
57,technician,married,secondary,no,6164,no,no,cellular,19,nov,161
58,housemaid,married,primary,no,5278,yes,no,unknown,4,jun,763
36,technician,married,secondary,no,5902,yes,no,unknown,23,may,219
35,technician,married,tertiary,no,188,no,no,cellular,26,aug,286
31,technician,married,secondary,no,3706,yes,no,cellular,20,nov,129
29,management,married,tertiary,no,877,no,no,cellular,3,feb,166
34,management,married,tertiary,no,2594,yes,no,cellular,21,nov,161
33,blue-collar,married,secondary,no,889,yes,no,unknown,18,sep,13
28,services,single,secondary,no,94,yes,no,cellular,16,apr,300
33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329
59,self-employed,married,tertiary,no,185,no,no,cellular,22,jun,177
35,management,single,tertiary,no,2988,yes,no,cellular,25,may,179
48,retired,married,primary,no,5173,yes,no,unknown,18,jun,88
40,services,married,secondary,no,9374,yes,no,cellular,21,nov,7
36,self-employed,married,tertiary,no,506,no,no,cellular,25,aug,47
42,admin.,single,secondary,no,30,yes,no,cellular,4,feb,98
37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413
58,housemaid,married,primary,no,435,yes,no,telephone,28,jul,122
22,student,single,unknown,no,549,no,no,cellular,2,sep,154
43,blue-collar,married,primary,no,-98,yes,yes,cellular,12,may,112
31,unemployed,married,tertiary,no,7744,no,no,cellular,26,aug,377
24,management,single,tertiary,no,172,no,no,cellular,3,jul,67
34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46
52,services,married,secondary,no,-888,no,no,cellular,16,jul,135
53,self-employed,married,tertiary,no,2627,yes,yes,unknown,16,jun,18
36,management,married,tertiary,no,-296,yes,no,cellular,14,may,113
28,technician,single,secondary,no,126,no,no,cellular,3,mar,229
56,blue-collar,married,primary,no,379,no,no,cellular,13,aug,58
52,blue-collar,married,primary,no,36,no,no,cellular,13,aug,109
25,technician,single,secondary,no,2157,yes,no,cellular,21,jul,339
21,services,single,secondary,no,361,no,no,telephone,5,jun,329
34,blue-collar,married,primary,no,351,no,yes,cellular,14,jul,326
33,technician,single,tertiary,no,316,no,no,cellular,21,aug,126
35,technician,married,secondary,no,2,no,no,telephone,28,jan,653
51,technician,married,secondary,no,463,yes,no,unknown,13,may,213
39,housemaid,married,primary,no,267,no,no,unknown,9,jun,1151
35,unknown,married,primary,no,365,no,no,cellular,29,aug,41
73,retired,married,primary,no,1388,no,no,cellular,20,jul,146
55,management,married,tertiary,no,0,yes,no,unknown,14,may,159
33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205
44,entrepreneur,married,primary,no,276,yes,yes,unknown,15,may,219
31,blue-collar,married,secondary,no,79,yes,yes,cellular,23,jul,235
37,technician,single,secondary,yes,375,no,no,unknown,9,jun,223
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483
46,housemaid,married,primary,no,19,yes,no,telephone,21,jul,171
30,technician,married,tertiary,no,101,yes,yes,cellular,7,jul,187
34,technician,single,secondary,no,2178,yes,no,cellular,26,may,41
76,retired,divorced,primary,no,86,no,no,cellular,12,aug,192
31,blue-collar,single,secondary,no,16,no,no,cellular,7,jul,387
53,blue-collar,married,secondary,no,0,no,no,telephone,31,jul,36
38,management,married,tertiary,no,12877,no,no,unknown,17,jun,118
54,services,married,unknown,no,386,no,yes,cellular,19,nov,74
45,unemployed,divorced,secondary,no,728,yes,yes,cellular,18,nov,107
37,management,single,tertiary,no,9,no,no,cellular,26,aug,484
48,management,married,secondary,no,117,yes,no,cellular,16,apr,635
60,unemployed,divorced,secondary,no,385,yes,no,cellular,4,feb,80
32,technician,single,secondary,no,29,no,no,cellular,19,aug,156
32,technician,married,unknown,no,14533,no,no,cellular,31,dec,646
52,blue-collar,married,primary,no,1331,yes,no,cellular,29,jul,213
49,blue-collar,married,primary,no,1019,yes,no,cellular,16,apr,285
31,blue-collar,married,secondary,no,897,yes,no,unknown,20,may,26
38,services,married,secondary,no,0,yes,no,telephone,28,jul,121
41,technician,married,secondary,no,55,yes,no,cellular,6,aug,185
32,management,single,tertiary,no,28,no,no,cellular,8,aug,111
32,entrepreneur,married,primary,no,795,no,no,cellular,8,aug,131
39,management,married,tertiary,no,12,yes,no,unknown,23,may,130
30,management,married,tertiary,no,0,yes,no,cellular,9,jul,127
58,unemployed,married,tertiary,no,744,no,no,telephone,28,jan,38
36,student,single,unknown,no,386,no,no,unknown,18,jun,359
32,technician,single,secondary,no,493,no,no,cellular,13,aug,289
47,blue-collar,married,primary,no,556,yes,no,cellular,4,feb,147
34,services,single,secondary,no,84,yes,no,unknown,23,may,299
30,technician,single,tertiary,no,1185,yes,no,cellular,30,apr,284
36,management,single,tertiary,no,260,yes,no,cellular,7,may,49
49,technician,married,unknown,no,323,yes,no,cellular,18,nov,41
29,unemployed,single,secondary,no,486,no,no,telephone,30,apr,95
30,self-employed,married,secondary,no,123,no,yes,unknown,17,jul,66
56,blue-collar,married,secondary,no,2190,no,yes,cellular,30,jan,90
38,technician,divorced,secondary,no,410,no,no,cellular,11,aug,63
20,student,single,secondary,no,1191,no,no,cellular,12,feb,274
44,management,divorced,tertiary,no,0,no,no,cellular,22,aug,54
57,blue-collar,married,primary,no,282,no,yes,cellular,7,jul,261
37,management,married,tertiary,no,347,yes,no,cellular,22,jul,282
43,management,married,secondary,no,17555,no,no,cellular,26,aug,14
45,technician,married,secondary,no,1477,yes,no,cellular,8,jul,355
30,services,single,secondary,no,432,yes,no,unknown,20,may,340
30,blue-collar,married,primary,no,-518,yes,yes,unknown,28,may,244
33,management,divorced,tertiary,no,0,yes,yes,cellular,19,aug,275
48,technician,married,secondary,no,340,yes,no,cellular,28,jan,255
30,self-employed,single,secondary,no,192,no,no,cellular,22,jul,423
40,services,divorced,secondary,no,-81,no,yes,cellular,23,jul,186
39,services,married,secondary,no,247,yes,no,cellular,17,apr,244
33,technician,single,secondary,no,291,no,no,cellular,25,aug,72
59,retired,married,secondary,no,5706,yes,no,cellular,25,jul,471
50,technician,married,secondary,no,669,yes,no,unknown,2,jun,88
29,services,married,secondary,no,182,yes,no,telephone,13,may,38
34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145
38,management,married,tertiary,no,950,no,no,cellular,5,aug,210
42,blue-collar,married,primary,no,969,yes,no,cellular,13,may,721
42,blue-collar,married,unknown,no,-406,yes,no,cellular,30,jul,152
34,services,married,secondary,no,2211,no,no,unknown,8,may,149
40,management,married,tertiary,no,-495,no,yes,cellular,29,jul,303
34,technician,single,secondary,no,440,yes,no,cellular,6,may,445
36,technician,married,tertiary,no,60,no,no,cellular,19,aug,209
31,blue-collar,single,tertiary,no,462,yes,yes,unknown,19,may,147
35,admin.,married,secondary,no,725,yes,no,cellular,20,nov,219
53,technician,married,tertiary,no,3177,no,no,cellular,8,aug,92
45,services,married,secondary,no,0,no,yes,cellular,8,jul,47
55,housemaid,married,secondary,no,139,no,no,cellular,22,aug,256
41,blue-collar,married,primary,no,1172,yes,no,unknown,15,may,153
40,admin.,divorced,secondary,no,212,no,no,unknown,7,jan,176
48,blue-collar,married,secondary,no,333,yes,no,cellular,14,may,24
43,blue-collar,married,primary,no,188,yes,no,cellular,12,may,58
43,management,single,secondary,yes,-1164,yes,yes,cellular,18,jul,76
49,management,married,tertiary,no,852,yes,no,cellular,20,nov,408
58,management,married,primary,no,320,yes,no,unknown,30,may,171
24,blue-collar,married,secondary,no,0,no,no,unknown,28,may,94
29,student,single,unknown,no,145,no,no,cellular,14,aug,105
31,admin.,divorced,secondary,no,360,no,no,cellular,15,may,332
36,blue-collar,married,secondary,no,-73,yes,yes,cellular,18,may,15
45,blue-collar,married,primary,no,137,yes,yes,unknown,16,may,187
31,management,single,tertiary,no,1494,no,no,cellular,13,aug,275
44,technician,divorced,unknown,no,759,yes,no,unknown,23,may,397
54,management,divorced,tertiary,no,7010,no,no,cellular,11,mar,275
33,management,single,tertiary,no,3170,no,no,cellular,28,oct,246
33,blue-collar,single,secondary,no,5137,yes,no,cellular,6,may,123
24,technician,single,secondary,no,-46,yes,no,unknown,19,may,23
40,self-employed,married,primary,no,2077,yes,no,cellular,13,may,363
69,retired,married,tertiary,no,473,no,no,cellular,7,jul,112
41,blue-collar,married,secondary,no,343,yes,no,unknown,14,may,89
53,technician,married,secondary,no,100,no,no,cellular,13,aug,205
48,technician,married,secondary,no,4265,yes,no,unknown,13,may,220
31,blue-collar,married,secondary,no,-498,yes,no,cellular,21,jul,357
46,admin.,married,secondary,no,22,yes,no,cellular,7,aug,414
42,housemaid,married,primary,no,145,no,no,cellular,20,aug,252
33,management,single,primary,no,4897,yes,no,unknown,20,may,151
33,management,married,tertiary,no,296,no,no,cellular,16,jul,90
54,blue-collar,married,primary,no,781,yes,no,unknown,9,may,103
50,technician,married,tertiary,no,199,yes,yes,cellular,3,feb,116
59,blue-collar,married,primary,no,0,no,no,cellular,18,nov,167
27,technician,single,secondary,no,282,no,yes,cellular,9,jul,676
29,blue-collar,married,secondary,no,-478,no,yes,cellular,8,jul,528
38,unemployed,married,primary,no,-363,no,no,unknown,12,jun,340
30,management,single,tertiary,no,2,no,no,cellular,16,jun,102
43,blue-collar,married,primary,no,255,yes,no,cellular,17,jul,180
38,services,married,secondary,no,8876,no,no,cellular,2,feb,280
32,management,single,tertiary,no,0,no,no,cellular,21,nov,9
26,technician,married,secondary,no,18,yes,yes,cellular,5,may,138
35,services,married,secondary,no,819,yes,no,telephone,14,jul,102
60,technician,single,tertiary,no,2934,no,no,cellular,8,aug,233
26,services,single,secondary,no,1700,yes,no,cellular,7,may,13
51,self-employed,married,tertiary,no,2007,no,no,unknown,16,jun,1021
50,services,married,secondary,no,26394,no,no,cellular,25,aug,206
47,technician,married,secondary,no,3973,no,no,cellular,6,aug,732
34,technician,married,secondary,no,1,yes,no,cellular,19,nov,108
46,services,married,secondary,no,451,yes,yes,cellular,13,may,389
26,self-employed,married,tertiary,no,479,yes,no,cellular,9,feb,133
39,entrepreneur,married,unknown,no,98,yes,no,telephone,15,may,59
47,services,divorced,secondary,no,691,no,no,cellular,6,feb,285
45,management,married,tertiary,no,-206,yes,no,cellular,6,may,337
57,management,married,tertiary,no,320,no,no,cellular,7,aug,76
54,blue-collar,divorced,primary,no,-182,no,no,cellular,9,jul,98
39,services,married,secondary,no,0,yes,no,unknown,20,may,793
30,technician,married,secondary,no,1211,yes,no,cellular,18,may,176
33,admin.,single,tertiary,no,490,yes,no,cellular,7,may,31
39,blue-collar,married,primary,no,385,yes,no,unknown,16,may,225
61,management,married,secondary,no,1471,no,no,cellular,12,aug,331
36,services,single,secondary,no,417,yes,no,cellular,6,feb,15
26,services,single,secondary,no,0,no,no,cellular,29,jul,165
40,management,single,unknown,no,838,yes,no,unknown,12,may,619
32,blue-collar,divorced,secondary,no,739,yes,no,unknown,9,may,171
35,admin.,married,secondary,no,0,yes,no,cellular,7,may,121
40,technician,married,secondary,no,-396,yes,no,unknown,26,may,127
37,services,married,secondary,no,0,yes,yes,cellular,31,jul,187
36,services,married,secondary,no,3064,yes,no,telephone,11,may,1143
32,admin.,single,secondary,no,1649,no,no,cellular,27,may,204
58,housemaid,married,primary,no,419,no,yes,unknown,5,jun,295
26,student,single,secondary,no,203,no,no,cellular,16,nov,104
33,technician,divorced,tertiary,no,39,no,no,cellular,19,aug,123
32,blue-collar,married,secondary,no,2,yes,no,cellular,15,may,16
42,management,divorced,tertiary,no,401,yes,no,cellular,24,jul,217
59,admin.,divorced,secondary,no,975,yes,no,unknown,15,may,263
34,technician,married,secondary,no,-136,yes,yes,cellular,12,aug,131
58,retired,married,primary,no,4007,no,no,cellular,30,nov,598
57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67
47,housemaid,married,primary,no,0,no,no,cellular,10,aug,1225
55,management,married,tertiary,no,540,no,no,cellular,19,nov,124
39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96
33,blue-collar,married,primary,no,191,yes,no,unknown,9,may,162
35,blue-collar,married,secondary,no,1257,yes,no,cellular,20,apr,93
48,management,single,tertiary,no,8106,no,no,unknown,17,nov,125
53,management,married,tertiary,no,1343,no,no,cellular,5,aug,129
34,blue-collar,married,unknown,no,41,yes,no,cellular,6,may,34
47,management,single,tertiary,no,440,no,no,cellular,21,aug,71
44,blue-collar,married,secondary,no,1071,yes,no,cellular,11,may,143
46,admin.,divorced,secondary,no,7378,no,no,cellular,18,nov,466
40,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,245
53,technician,married,secondary,no,4541,yes,no,unknown,15,may,190
27,services,single,secondary,no,259,yes,no,unknown,23,may,78
33,technician,divorced,secondary,no,0,yes,no,cellular,7,may,177
25,blue-collar,married,primary,yes,-589,yes,no,unknown,3,jun,233
33,blue-collar,single,secondary,no,-320,no,no,cellular,18,may,268
42,admin.,married,unknown,no,642,yes,yes,unknown,16,may,509
54,services,married,secondary,no,812,no,no,cellular,31,jul,113
32,self-employed,married,primary,no,286,yes,no,cellular,6,aug,175
56,unemployed,divorced,primary,no,1770,no,no,cellular,5,feb,916
56,admin.,divorced,secondary,no,3337,yes,no,telephone,17,nov,99
33,services,married,primary,no,6904,no,no,telephone,20,nov,114
33,blue-collar,married,secondary,no,640,yes,no,cellular,3,feb,439
48,admin.,divorced,unknown,no,-70,no,no,cellular,14,may,243
33,housemaid,married,primary,no,212,yes,no,cellular,11,jul,260
34,blue-collar,married,secondary,no,67,yes,yes,unknown,8,may,672
37,blue-collar,married,primary,no,403,yes,no,cellular,8,may,318
41,management,married,unknown,no,2457,yes,no,unknown,9,may,285
48,services,married,secondary,yes,-20,no,no,cellular,20,aug,142
58,management,married,primary,no,2769,yes,no,cellular,11,jul,94
27,blue-collar,single,primary,no,-179,yes,no,cellular,15,may,54
60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443
51,admin.,married,secondary,no,2967,no,no,unknown,17,jun,83
34,blue-collar,married,secondary,no,8309,yes,yes,cellular,19,nov,50
39,technician,single,tertiary,no,1043,no,no,cellular,18,aug,195
37,management,married,tertiary,no,1689,yes,no,unknown,29,may,645
37,technician,single,secondary,no,61,yes,no,unknown,19,may,182
35,self-employed,single,secondary,no,1732,no,no,telephone,21,nov,1441
58,retired,married,secondary,no,14412,no,no,cellular,18,nov,297
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283
59,retired,married,unknown,no,0,no,no,unknown,8,may,425
63,retired,married,tertiary,no,133,yes,no,cellular,13,feb,104
54,services,married,secondary,no,88,yes,no,unknown,13,may,190
48,management,single,tertiary,no,414,no,no,cellular,21,jul,761
59,blue-collar,married,secondary,no,5314,yes,no,cellular,5,may,200
33,blue-collar,single,primary,no,1,yes,no,cellular,20,apr,257
59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,366
40,technician,married,secondary,no,2715,yes,no,unknown,29,may,125
37,management,married,tertiary,no,547,yes,yes,unknown,21,may,143
28,admin.,single,secondary,no,775,no,no,cellular,29,jan,603
53,blue-collar,single,secondary,no,5715,no,no,cellular,28,jan,287
47,technician,married,secondary,no,1990,yes,yes,cellular,25,aug,108
43,technician,married,tertiary,no,192,no,no,cellular,5,aug,203
30,admin.,married,secondary,no,2678,yes,no,cellular,18,may,23
55,services,married,secondary,no,557,no,no,unknown,19,jun,58
42,services,married,secondary,no,96,yes,no,cellular,5,may,238
40,self-employed,married,secondary,no,167,yes,yes,cellular,8,may,380
32,services,single,secondary,no,48,yes,no,cellular,20,apr,8
31,technician,single,secondary,no,35,no,yes,cellular,16,jul,229
33,management,single,secondary,no,1558,yes,no,cellular,17,apr,97
36,admin.,married,secondary,no,0,yes,yes,cellular,9,feb,101
35,management,divorced,tertiary,no,160,yes,no,unknown,4,jun,141
24,blue-collar,married,secondary,no,-254,yes,yes,unknown,27,may,290
34,services,married,secondary,no,-315,yes,no,unknown,8,may,56
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57
40,blue-collar,married,secondary,no,326,yes,yes,cellular,7,jul,112
31,technician,divorced,secondary,no,202,yes,no,cellular,18,jul,146
34,management,single,tertiary,no,0,no,no,cellular,21,aug,191
28,blue-collar,married,secondary,no,225,yes,yes,unknown,7,may,866
56,blue-collar,married,primary,no,828,yes,no,cellular,14,may,214
32,admin.,single,secondary,no,10218,yes,no,cellular,19,nov,149
43,management,single,secondary,no,1029,yes,no,unknown,2,jun,145
48,blue-collar,married,unknown,no,439,yes,no,cellular,2,feb,212
33,blue-collar,married,secondary,no,625,yes,no,unknown,28,may,410
27,student,single,tertiary,no,118,no,no,cellular,25,may,112
40,self-employed,married,tertiary,no,1603,no,no,unknown,17,jun,279
37,admin.,married,secondary,no,1123,no,yes,unknown,28,may,138
30,services,single,primary,no,79,yes,no,cellular,15,may,317
32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87
30,unemployed,single,tertiary,no,302,no,no,cellular,11,feb,528
80,housemaid,married,primary,no,0,no,no,cellular,23,feb,639
32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798
56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243
32,management,single,tertiary,no,2,yes,no,cellular,11,sep,100
