Age,Years_Current_Employer,Years_Current_Position,Salary
30,5,5,46000
53,6,6,32000
41,1,1,55000
33,8,8,49000
60,15,1,68000
32,1,1,37500
30,8,8,60000
37,10,2,50000
66,40,3,56000
43,11,11,46000
40,15,5,50000
48,20,20,25000
49,32,15,42000
46,24,14,49000
43,4,4,35000
28,2,2,32000
39,8,8,35000
61,31,4,100000
56,25,7,100000
51,28,12,98000
62,2,2,33000
62,28,16,65000
30,7,7,27000
29,2,2,40000
37,13,6,84000
59,7,7,80000
66,30,20,52000
58,12,12,80000
47,9,9,45000
38,6,10,105000
62,11,11,80000
34,9,9,45000
46,8,8,74000
35,5,5,85000
61,15,5,30000
54,2,8,55000
60,29,19,42000
59,37,4,70000
38,3,5,100000
30,5,3,25000
44,15,10,55000
50,11,18,100000
51,2,2,36000
49,5,5,40000
30,1,1,35000
37,7,5,48862
34,5,5,30000
62,31,10,50000
59,25,20,75000
37,4,1,100000
54,23,2,85000
60,8,8,35000
28,4,4,26500
25,1,6,32000
45,19,15,75000
63,7,7,39500
34,11,6,36000
62,5,5,31000
38,1,1,68000
66,6,6,140000
27,6,2,110000
65,6,6,92000
30,2,2,30000
35,9,6,60000
29,1,1,68000
29,5,4,51000
63,20,20,35000
44,16,16,30000
35,6,6,50000
63,20,20,48409
46,8,8,97000
26,1,1,110000
46,15,6,135000
59,5,5,62000
34,11,7,47000
30,5,5,74000
37,2,2,26000
44,8,8,30000
25,9,5,30000
39,3,3,84000
46,6,6,83000
35,12,2,65000
42,1,1,30000
60,2,2,55000
59,1,1,43600
51,30,15,78000
51,5,3,36000
47,19,19,32000
36,16,10,54000
35,9,9,98500
42,6,6,60000
39,50,6,50000
54,23,18,130000
49,6,6,80000
34,7,7,38000
45,20,20,75000
53,26,8,54500
51,12,6,44600
29,5,1,33280
34,4,2,149000
36,18,10,30000
43,2,2,35000
27,5,5,45000
46,7,5,50000
28,5,5,35000
44,13,5,194358
35,5,5,30000
31,2,2,28000
46,6,6,50000
26,4,2,40000
46,3,20,50000
52,10,10,25000
33,4,4,45000
33,7,3,31000
34,6,2,45000
41,1,1,30000
32,5,5,25000
34,11,11,40000
34,4,4,55000
36,5,5,75000
42,15,15,45000
30,2,2,49000
37,6,6,68000
25,1,1,28000
38,1,1,49999
40,9,7,80000
40,4,4,62000
37,1,1,40000
29,5,4,60000
42,5,5,40000
49,10,10,51000
53,13,13,36700
29,7,4,175000
54,5,5,74000
25,1,1,40000
36,11,9,189000
37,11,11,50000
41,8,4,41000
34,3,3,45000
39,5,5,126000
26,3,3,30000
31,9,8,26000
26,6,4,30000
51,30,17,65000
31,5,5,35000
31,4,4,75000
37,7,10,53000
45,11,11,160000
29,6,5,39940
47,5,5,40000
42,5,5,52000
34,11,11,50000
40,5,2,62000
47,13,11,25000
33,3,1,25000
42,10,10,42000
32,7,7,55000
46,8,8,104000
28,10,10,200000
43,8,6,94000
40,6,4,45000
41,6,6,50000
41,5,5,39000
25,1,1,45000
25,3,3,30000
25,3,2,40000
25,1,1,41000
25,2,2,33000
25,2,1,35000
33,5,3,40000
25,4,1,32350
27,4,2,40000
25,6,3,32000
25,3,3,102090
25,5,4,26000
26,5,5,35000
25,4,4,56000
25,3,2,30000
25,2,2,50000
25,3,1,30000
26,3,2,38000
25,3,3,32000
25,2,1,44000
25,5,1,28000
26,1,1,27999
26,2,2,58000
25,5,5,32000
25,6,5,32000
25,2,2,34000
25,5,5,40000
27,3,3,30000
25,5,1,25000
26,4,4,60000
38,3,1,35000
25,2,2,56000
33,5,5,40000
52,30,8,65600
41,15,10,35000
48,24,18,40000
31,2,2,44700
51,16,16,60000
51,20,20,25000
42,9,9,65000
37,15,5,70000
41,15,10,35000
37,1,1,50000
53,2,1,25000
32,1,1,75000
26,4,4,43000
45,20,6,65000
31,6,11,30000
34,7,7,90000
26,1,1,35000
37,1,1,30000
41,10,15,60000
31,1,1,39000
39,12,1,150000
46,2,2,60000
31,9,9,73500
45,14,14,42000
53,1,1,52000
30,8,8,48000
44,11,11,33000
42,3,16,32100
51,10,8,30000
48,1,1,55000
53,19,6,65000
53,2,2,42000
53,8,8,65000
32,2,1,100000
32,5,3,60000
25,1,1,35000
25,2,2,32000
25,2,1,33000
25,3,2,32000
25,2,1,70000
35,3,3,60000
25,1,2,28000
25,2,2,32960
27,5,5,100000
25,10,5,150000
38,3,3,25000
46,15,15,70000
25,4,4,30000
32,3,3,120000
25,1,1,82400
25,3,3,58000
25,1,1,25000
25,1,1,30000
25,2,2,36000
26,4,4,45000
25,3,3,90000
27,10,2,60000
28,6,4,43215
32,5,5,75000
25,1,1,35000
25,4,4,25000
25,2,2,25000
35,10,9,76000
27,4,4,52030
53,14,4,52000
49,25,15,60000
25,1,1,36000
25,5,7,27000
25,2,2,38000
25,3,1,44500
25,5,5,60000
25,3,1,54000
25,2,2,29000
33,3,2,150000
25,2,2,60000
25,2,2,34000
25,2,2,70000
25,2,2,30000
25,1,1,32500
28,2,2,98223
25,6,6,56000
25,5,5,29000
