age,contact,month,duration,pdays,previous,y
33,cellular,jan,76,207,1,no
30,cellular,may,83,-1,0,no
42,cellular,aug,86,-1,0,no
40,cellular,feb,267,270,3,no
46,unknown,jun,564,-1,0,no
31,cellular,jul,588,-1,0,no
45,cellular,aug,113,-1,0,no
33,cellular,nov,58,122,4,no
36,cellular,jul,779,-1,0,no
51,cellular,may,281,266,6,no
57,cellular,nov,22,114,1,no
45,cellular,jul,32,-1,0,no
34,unknown,may,120,-1,0,no
37,cellular,may,53,-1,0,no
49,cellular,nov,60,-1,0,no
43,unknown,may,67,-1,0,no
48,cellular,may,85,168,2,no
27,unknown,may,317,-1,0,no
33,cellular,aug,236,-1,0,no
29,cellular,may,54,345,2,no
34,cellular,feb,71,-1,0,no
60,unknown,jun,39,-1,0,no
32,cellular,aug,204,-1,0,no
32,cellular,jul,455,-1,0,no
26,unknown,may,141,-1,0,no
31,cellular,nov,190,-1,0,no
42,unknown,may,280,-1,0,no
35,cellular,aug,588,-1,0,no
58,cellular,aug,131,-1,0,no
48,cellular,jul,168,-1,0,no
46,cellular,jan,194,436,1,no
71,cellular,jan,208,93,2,no
41,unknown,may,333,-1,0,no
36,cellular,jul,102,-1,0,no
45,unknown,jul,92,-1,0,no
28,cellular,may,253,107,5,no
51,unknown,jun,151,-1,0,no
35,cellular,aug,77,-1,0,no
55,cellular,jan,84,183,3,no
56,unknown,may,66,-1,0,no
34,cellular,jul,147,-1,0,no
34,unknown,oct,10,-1,0,no
25,unknown,may,199,-1,0,no
41,unknown,may,35,-1,0,no
43,unknown,may,82,-1,0,no
31,unknown,jun,455,-1,0,no
78,telephone,mar,80,-1,0,no
45,cellular,jan,549,-1,0,no
44,unknown,jun,29,-1,0,no
32,cellular,jul,412,-1,0,no
50,cellular,feb,116,253,1,no
31,cellular,jan,130,2,1,no
42,cellular,feb,119,195,8,no
48,cellular,may,90,-1,0,no
42,cellular,nov,135,-1,0,no
43,cellular,jul,166,-1,0,no
44,cellular,jul,18,-1,0,no
37,cellular,may,147,347,1,no
59,telephone,nov,207,153,1,no
37,cellular,nov,65,119,1,no
31,cellular,apr,224,74,4,no
32,cellular,jul,333,-1,0,no
50,cellular,may,141,297,2,no
40,unknown,jun,140,-1,0,no
34,unknown,jun,109,-1,0,no
34,cellular,jul,61,-1,0,no
52,unknown,may,420,-1,0,no
37,cellular,feb,96,271,2,no
36,cellular,may,152,347,1,no
49,telephone,jul,97,-1,0,no
33,cellular,jul,543,-1,0,no
30,cellular,nov,240,-1,0,no
26,cellular,may,101,-1,0,no
39,unknown,jun,217,-1,0,no
31,unknown,may,159,-1,0,no
36,unknown,jun,411,-1,0,no
34,cellular,jul,1156,-1,0,no
42,cellular,apr,285,-1,0,no
32,cellular,may,291,-1,0,no
60,unknown,may,113,-1,0,no
39,cellular,nov,1337,126,1,no
45,cellular,nov,139,-1,0,no
42,cellular,jul,196,-1,0,no
29,cellular,jul,115,61,1,no
44,cellular,nov,20,175,15,no
56,cellular,aug,17,-1,0,no
42,unknown,jun,57,-1,0,no
25,unknown,jun,95,-1,0,no
33,unknown,may,169,-1,0,no
57,cellular,nov,198,-1,0,no
31,cellular,aug,220,-1,0,no
45,cellular,aug,71,-1,0,no
48,cellular,nov,37,-1,0,no
60,unknown,jun,36,-1,0,no
49,cellular,aug,151,-1,0,no
37,unknown,may,412,-1,0,no
44,unknown,jun,476,-1,0,no
49,unknown,may,59,-1,0,no
41,cellular,aug,111,-1,0,no
42,cellular,feb,139,-1,0,no
32,unknown,may,227,-1,0,no
26,unknown,may,174,-1,0,no
33,cellular,apr,210,242,1,no
36,cellular,may,9,-1,0,no
35,cellular,sep,112,62,6,no
42,cellular,may,238,340,2,no
40,unknown,jun,222,-1,0,no
57,telephone,apr,137,-1,0,no
45,cellular,jul,768,91,5,no
30,cellular,jan,123,-1,0,no
34,cellular,jul,78,-1,0,no
33,cellular,apr,124,308,2,no
57,unknown,may,216,-1,0,no
57,unknown,jun,69,-1,0,no
51,cellular,jul,168,-1,0,no
26,unknown,may,302,-1,0,no
50,cellular,nov,690,-1,0,no
44,cellular,aug,125,-1,0,no
27,unknown,jun,344,-1,0,no
50,unknown,may,673,-1,0,no
44,cellular,aug,163,-1,0,no
54,cellular,aug,98,-1,0,no
26,unknown,may,351,-1,0,no
48,cellular,apr,104,-1,0,no
43,cellular,may,9,172,5,no
31,cellular,feb,155,-1,0,no
32,unknown,may,528,-1,0,no
55,cellular,jul,221,-1,0,no
45,unknown,may,62,-1,0,no
46,cellular,aug,71,-1,0,no
58,telephone,jul,122,-1,0,no
34,cellular,jul,361,-1,0,no
28,cellular,aug,119,-1,0,no
40,cellular,may,363,173,24,no
38,unknown,jun,118,-1,0,no
32,cellular,aug,181,-1,0,no
27,cellular,may,528,358,2,no
53,cellular,jul,180,-1,0,no
58,cellular,aug,543,78,2,no
44,telephone,jul,168,-1,0,no
29,unknown,may,230,-1,0,no
33,cellular,jul,83,-1,0,no
49,cellular,apr,390,-1,0,no
56,cellular,jul,88,-1,0,no
40,cellular,jun,297,28,3,no
36,unknown,jul,85,-1,0,no
35,cellular,nov,484,-1,0,no
47,cellular,aug,71,-1,0,no
38,unknown,jun,119,-1,0,no
57,cellular,aug,197,-1,0,no
38,cellular,aug,247,-1,0,no
50,cellular,nov,49,-1,0,no
51,cellular,may,341,-1,0,no
59,unknown,may,64,-1,0,no
48,unknown,jun,15,-1,0,no
37,unknown,jun,98,-1,0,no
42,unknown,may,650,-1,0,no
40,unknown,jun,197,-1,0,no
28,unknown,may,331,-1,0,no
45,cellular,nov,275,-1,0,no
27,unknown,may,138,-1,0,no
41,cellular,jul,312,-1,0,no
47,unknown,may,211,-1,0,no
53,cellular,aug,62,-1,0,no
50,cellular,aug,104,-1,0,no
47,cellular,aug,101,-1,0,no
32,cellular,nov,400,-1,0,no
70,cellular,may,445,-1,0,no
65,cellular,jun,383,188,5,no
56,telephone,jul,605,-1,0,no
35,cellular,jul,330,-1,0,no
56,cellular,jul,171,-1,0,no
56,cellular,jul,442,-1,0,no
38,unknown,may,249,-1,0,no
35,unknown,may,357,-1,0,no
30,cellular,jul,41,-1,0,no
49,cellular,may,199,167,1,no
55,cellular,jan,271,-1,0,no
43,cellular,jul,783,-1,0,no
43,cellular,aug,472,-1,0,no
30,unknown,may,395,-1,0,no
49,cellular,jul,474,-1,0,no
50,unknown,jun,641,-1,0,no
26,unknown,may,113,-1,0,no
45,unknown,jun,11,-1,0,no
37,cellular,feb,157,-1,0,no
60,cellular,jul,79,-1,0,no
47,unknown,jun,168,-1,0,no
33,cellular,nov,425,462,1,no
54,telephone,may,193,-1,0,no
48,unknown,may,357,-1,0,no
37,cellular,jul,22,-1,0,no
51,unknown,jun,65,-1,0,no
34,cellular,jul,56,-1,0,no
47,unknown,may,126,-1,0,no
33,unknown,sep,9,-1,0,no
27,cellular,may,143,-1,0,no
42,unknown,may,54,-1,0,no
51,cellular,may,106,-1,0,no
32,cellular,jul,624,-1,0,no
46,unknown,may,246,-1,0,no
38,telephone,jul,121,-1,0,no
34,cellular,jul,538,-1,0,no
39,cellular,may,126,-1,0,no
36,cellular,may,270,347,1,no
57,cellular,jul,339,-1,0,no
44,unknown,may,159,-1,0,no
47,cellular,may,323,364,1,no
31,cellular,apr,342,-1,0,no
35,cellular,nov,180,-1,0,no
39,cellular,jul,60,-1,0,no
50,cellular,nov,223,96,2,no
24,cellular,dec,390,-1,0,no
51,cellular,oct,272,102,8,no
46,unknown,may,134,-1,0,no
27,cellular,feb,10,-1,0,no
26,cellular,may,620,-1,0,no
36,cellular,nov,6,-1,0,no
42,cellular,may,209,-1,0,no
50,unknown,may,419,-1,0,no
49,cellular,nov,283,-1,0,no
45,cellular,aug,188,-1,0,no
23,cellular,sep,267,-1,0,no
38,cellular,apr,196,-1,0,no
51,cellular,jul,333,-1,0,no
32,cellular,may,145,-1,0,no
44,unknown,jun,202,-1,0,no
60,cellular,jun,207,-1,0,no
38,unknown,jun,456,-1,0,no
51,cellular,aug,261,-1,0,no
53,cellular,feb,288,-1,0,no
30,cellular,may,131,363,9,no
40,unknown,jun,94,-1,0,no
36,unknown,jun,435,-1,0,no
27,cellular,may,109,-1,0,no
33,unknown,may,226,-1,0,no
39,unknown,jun,77,-1,0,no
37,telephone,may,121,341,4,no
41,cellular,jul,155,-1,0,no
45,cellular,apr,108,-1,0,no
37,cellular,jul,413,-1,0,no
48,unknown,may,208,-1,0,no
61,cellular,aug,331,-1,0,no
35,unknown,may,597,-1,0,no
35,cellular,aug,428,336,6,no
28,unknown,jun,380,-1,0,no
35,cellular,may,85,-1,0,no
41,unknown,jun,127,-1,0,no
41,unknown,may,153,-1,0,no
49,unknown,may,168,-1,0,no
34,cellular,jun,80,-1,0,no
37,cellular,may,60,87,1,no
38,telephone,may,212,-1,0,no
39,cellular,apr,493,-1,0,no
35,cellular,nov,98,-1,0,no
39,unknown,may,160,-1,0,no
46,unknown,may,103,-1,0,no
50,unknown,jun,287,-1,0,no
45,cellular,aug,159,-1,0,no
41,unknown,may,125,-1,0,no
39,cellular,jul,202,-1,0,no
29,cellular,jul,167,-1,0,no
49,cellular,aug,72,-1,0,no
34,cellular,jul,326,-1,0,no
42,cellular,aug,325,-1,0,no
53,telephone,aug,223,-1,0,no
61,cellular,jul,195,-1,0,no
33,cellular,sep,156,127,8,no
46,cellular,may,105,366,2,no
46,cellular,nov,514,-1,0,no
39,unknown,jun,13,-1,0,no
37,cellular,may,551,351,1,no
54,unknown,jun,158,-1,0,no
59,telephone,feb,251,-1,0,no
36,unknown,may,142,-1,0,no
29,unknown,jun,135,-1,0,no
33,cellular,jul,400,-1,0,no
26,unknown,may,107,-1,0,no
32,unknown,may,127,-1,0,no
27,cellular,may,373,-1,0,no
53,cellular,feb,200,-1,0,no
29,cellular,may,418,-1,0,no
34,cellular,jul,387,-1,0,no
43,cellular,may,156,337,3,no
56,cellular,jul,121,-1,0,no
55,unknown,jun,108,-1,0,no
29,cellular,apr,341,-1,0,no
27,cellular,apr,16,322,4,no
36,cellular,nov,54,-1,0,no
52,cellular,aug,145,94,4,no
37,unknown,may,168,-1,0,no
30,cellular,may,115,-1,0,no
32,cellular,may,183,-1,0,no
62,cellular,sep,28,-1,0,no
24,cellular,apr,369,-1,0,no
31,unknown,may,247,-1,0,no
66,cellular,apr,155,-1,0,no
47,cellular,jul,89,-1,0,no
26,cellular,jul,136,-1,0,no
35,cellular,apr,46,-1,0,no
60,cellular,aug,54,-1,0,no
32,cellular,may,321,-1,0,no
52,cellular,jul,268,-1,0,no
42,unknown,may,147,-1,0,no
25,cellular,jul,264,-1,0,no
40,cellular,jul,156,-1,0,no
43,cellular,may,118,102,2,no
55,unknown,may,343,-1,0,no
32,unknown,may,297,-1,0,no
45,unknown,jun,5,-1,0,no
46,cellular,may,142,259,17,no
28,cellular,mar,76,-1,0,no
55,unknown,may,126,-1,0,no
39,unknown,may,142,-1,0,no
40,cellular,nov,523,-1,0,no
59,telephone,aug,91,-1,0,no
40,cellular,nov,153,-1,0,no
55,unknown,may,210,-1,0,no
38,cellular,jul,121,-1,0,no
41,unknown,may,253,-1,0,no
57,unknown,may,139,-1,0,no
48,unknown,may,71,-1,0,no
42,unknown,may,131,-1,0,no
54,unknown,may,108,-1,0,no
37,unknown,may,247,-1,0,no
56,telephone,jul,236,-1,0,no
53,cellular,apr,208,140,1,no
40,cellular,jul,109,-1,0,no
34,unknown,may,56,-1,0,no
54,telephone,aug,159,106,6,no
57,unknown,jun,97,-1,0,no
52,unknown,may,30,-1,0,no
55,unknown,jun,193,-1,0,no
57,unknown,may,339,-1,0,no
52,unknown,may,468,-1,0,no
33,unknown,may,148,-1,0,no
60,cellular,aug,122,-1,0,no
50,cellular,may,172,370,1,no
34,cellular,nov,117,-1,0,no
36,unknown,may,294,-1,0,no
47,cellular,aug,618,-1,0,no
53,unknown,may,331,-1,0,no
58,telephone,jul,282,-1,0,no
31,cellular,aug,110,-1,0,no
41,cellular,oct,231,-1,0,no
31,unknown,may,378,-1,0,no
52,cellular,jul,193,-1,0,no
42,unknown,jun,110,-1,0,no
41,cellular,may,92,-1,0,no
47,cellular,aug,310,-1,0,no
32,cellular,jul,738,-1,0,no
48,unknown,may,89,-1,0,no
36,cellular,jul,30,-1,0,no
45,cellular,apr,103,325,4,no
34,unknown,jun,70,-1,0,no
36,cellular,jul,172,-1,0,no
61,cellular,sep,336,81,2,no
54,unknown,jun,220,-1,0,no
28,unknown,may,133,-1,0,no
43,cellular,nov,585,191,4,no
47,cellular,aug,293,-1,0,no
45,unknown,may,68,-1,0,no
57,unknown,jun,97,-1,0,no
38,cellular,may,61,-1,0,no
49,cellular,jul,218,-1,0,no
43,cellular,may,109,360,2,no
50,cellular,aug,206,-1,0,no
32,cellular,may,145,-1,0,no
58,telephone,may,54,-1,0,no
34,cellular,apr,111,-1,0,no
42,unknown,may,22,-1,0,no
29,cellular,jun,136,-1,0,no
52,cellular,aug,273,-1,0,no
39,cellular,aug,63,-1,0,no
34,cellular,jul,118,-1,0,no
40,cellular,aug,44,-1,0,no
41,unknown,may,239,-1,0,no
45,unknown,jun,48,-1,0,no
27,cellular,jul,198,-1,0,no
48,unknown,may,73,-1,0,no
49,cellular,aug,157,-1,0,no
35,cellular,jul,90,-1,0,no
47,cellular,feb,236,-1,0,no
54,cellular,jul,118,-1,0,no
39,telephone,nov,40,-1,0,no
28,cellular,apr,346,-1,0,no
54,unknown,jun,200,-1,0,no
34,cellular,apr,187,332,3,no
63,cellular,sep,113,80,1,no
42,unknown,may,192,-1,0,no
37,unknown,may,514,-1,0,no
27,unknown,jun,236,-1,0,no
42,cellular,aug,94,-1,0,no
47,cellular,aug,405,-1,0,no
34,unknown,may,350,-1,0,no
28,cellular,apr,125,-1,0,no
36,cellular,may,36,-1,0,no
50,cellular,nov,35,176,1,no
35,unknown,may,389,-1,0,no
35,cellular,jan,219,246,1,no
26,cellular,jan,168,-1,0,no
36,unknown,jun,347,-1,0,no
59,cellular,jan,3025,-1,0,no
35,cellular,jan,41,184,7,no
46,unknown,may,332,-1,0,no
50,cellular,aug,219,-1,0,no
53,cellular,apr,427,150,1,no
81,cellular,aug,65,-1,0,no
35,cellular,may,192,-1,0,no
58,cellular,aug,155,-1,0,no
44,cellular,may,161,-1,0,no
38,cellular,jul,533,-1,0,no
49,cellular,feb,19,175,2,no
32,cellular,jul,72,-1,0,no
29,cellular,jul,819,-1,0,no
31,telephone,may,211,-1,0,no
36,unknown,jun,9,-1,0,no
52,cellular,jul,61,-1,0,no
36,cellular,aug,133,-1,0,no
32,cellular,may,34,-1,0,no
36,cellular,jul,95,-1,0,no
27,cellular,oct,190,82,1,no
43,cellular,jul,668,-1,0,no
45,unknown,jun,87,-1,0,no
39,cellular,jul,405,-1,0,no
31,cellular,aug,72,-1,0,no
31,cellular,jun,115,-1,0,no
37,cellular,jul,108,-1,0,no
44,cellular,aug,71,-1,0,no
47,cellular,aug,58,382,1,no
37,cellular,aug,148,-1,0,no
60,cellular,jan,188,261,2,no
36,unknown,may,223,-1,0,no
58,cellular,jul,523,-1,0,no
30,cellular,jul,423,-1,0,no
50,cellular,apr,146,147,4,no
51,unknown,may,57,-1,0,no
34,telephone,nov,46,182,2,no
28,unknown,may,251,-1,0,no
62,telephone,mar,139,-1,0,no
42,cellular,nov,96,-1,0,no
50,cellular,may,198,358,5,no
50,unknown,may,141,-1,0,no
32,unknown,jun,171,-1,0,no
26,cellular,jul,262,-1,0,no
39,cellular,apr,236,336,1,no
40,cellular,apr,57,-1,0,no
28,cellular,jul,568,-1,0,no
31,cellular,aug,105,-1,0,no
30,cellular,may,260,-1,0,no
33,unknown,jun,447,-1,0,no
27,telephone,jul,82,-1,0,no
32,cellular,may,426,-1,0,no
40,cellular,may,333,58,3,no
31,cellular,feb,174,-1,0,no
36,unknown,may,284,-1,0,no
30,unknown,may,244,-1,0,no
57,cellular,jul,236,-1,0,no
45,cellular,aug,150,-1,0,no
59,cellular,dec,237,206,2,no
33,cellular,nov,107,105,3,no
52,unknown,may,45,-1,0,no
83,cellular,mar,140,-1,0,no
48,unknown,may,697,-1,0,no
29,unknown,jul,134,-1,0,no
60,unknown,may,22,-1,0,no
35,cellular,jul,144,-1,0,no
57,unknown,jun,43,-1,0,no
56,unknown,jun,471,-1,0,no
28,unknown,may,147,-1,0,no
39,cellular,nov,108,-1,0,no
56,cellular,aug,103,-1,0,no
46,telephone,nov,249,112,2,no
32,cellular,jul,529,-1,0,no
60,cellular,apr,123,147,3,no
33,cellular,apr,199,146,2,no
27,cellular,feb,197,199,3,no
50,unknown,may,67,-1,0,no
45,cellular,jul,220,-1,0,no
48,cellular,feb,238,-1,0,no
59,unknown,may,104,-1,0,no
57,unknown,may,174,-1,0,no
64,cellular,mar,117,91,1,no
26,cellular,may,44,-1,0,no
40,cellular,jul,770,-1,0,no
36,cellular,apr,190,133,1,no
53,cellular,nov,854,170,3,no
46,unknown,may,293,-1,0,no
54,telephone,nov,986,94,8,no
32,cellular,nov,66,-1,0,no
32,unknown,may,700,-1,0,no
55,cellular,jul,205,-1,0,no
56,telephone,jul,31,-1,0,no
40,unknown,jun,113,-1,0,no
44,cellular,feb,200,253,1,no
32,cellular,nov,158,135,1,no
33,unknown,jun,99,-1,0,no
76,cellular,aug,192,-1,0,no
37,cellular,may,239,278,2,no
58,telephone,may,168,-1,0,no
52,cellular,aug,196,-1,0,no
49,unknown,jun,319,-1,0,no
50,cellular,jan,197,244,3,no
41,unknown,may,764,-1,0,no
36,cellular,jan,339,-1,0,no
41,cellular,jul,168,-1,0,no
30,cellular,feb,88,-1,0,no
46,cellular,apr,126,149,8,no
47,cellular,nov,157,-1,0,no
35,unknown,may,212,-1,0,no
80,telephone,oct,123,-1,0,no
30,unknown,may,306,-1,0,no
35,cellular,may,409,-1,0,no
22,cellular,jun,119,-1,0,no
33,unknown,may,29,-1,0,no
53,cellular,jul,117,-1,0,no
31,cellular,jan,203,2,3,no
36,cellular,aug,81,-1,0,no
41,cellular,nov,265,-1,0,no
35,unknown,may,427,-1,0,no
51,unknown,jun,51,-1,0,no
35,cellular,may,74,168,4,no
29,cellular,jul,183,-1,0,no
40,cellular,jul,631,-1,0,no
48,unknown,may,108,-1,0,no
33,cellular,aug,264,-1,0,no
55,unknown,jun,262,-1,0,no
41,unknown,may,244,-1,0,no
42,unknown,may,107,-1,0,no
46,unknown,jun,9,-1,0,no
35,cellular,jul,149,-1,0,no
28,cellular,jan,321,-1,0,no
25,cellular,apr,224,322,3,no
30,cellular,mar,78,-1,0,no
30,cellular,jul,250,-1,0,no
34,cellular,apr,29,152,1,no
35,cellular,apr,41,-1,0,no
40,cellular,may,55,298,4,no
39,cellular,jul,290,-1,0,no
48,unknown,jun,383,-1,0,no
26,unknown,may,127,-1,0,no
32,cellular,feb,124,-1,0,no
34,unknown,may,224,-1,0,no
38,unknown,jun,256,-1,0,no
42,cellular,aug,85,-1,0,no
37,cellular,may,133,-1,0,no
29,cellular,aug,91,-1,0,no
34,cellular,may,141,188,1,no
47,cellular,nov,192,-1,0,no
38,unknown,may,91,-1,0,no
48,cellular,nov,79,172,8,no
33,cellular,apr,25,-1,0,no
28,cellular,may,227,-1,0,no
69,telephone,sep,595,-1,0,no
52,cellular,aug,134,-1,0,no
65,cellular,sep,112,-1,0,no
47,cellular,apr,174,-1,0,no
57,cellular,aug,162,-1,0,no
36,cellular,aug,125,-1,0,no
50,telephone,jul,24,-1,0,no
45,cellular,may,262,352,2,no
33,cellular,apr,301,-1,0,no
60,cellular,may,63,-1,0,no
35,cellular,jul,259,-1,0,no
45,cellular,jul,212,-1,0,no
57,unknown,may,17,-1,0,no
46,telephone,nov,192,-1,0,no
31,unknown,may,97,-1,0,no
53,cellular,aug,41,-1,0,no
35,unknown,jun,200,-1,0,no
32,cellular,nov,91,-1,0,no
50,cellular,nov,397,-1,0,no
31,telephone,jul,94,-1,0,no
42,cellular,feb,446,-1,0,no
59,cellular,apr,304,-1,0,no
27,unknown,jun,88,-1,0,no
32,cellular,apr,86,-1,0,no
35,cellular,may,63,-1,0,no
33,cellular,nov,884,-1,0,no
37,cellular,jan,293,162,4,no
57,unknown,may,227,-1,0,no
42,unknown,may,146,-1,0,no
55,cellular,jul,276,-1,0,no
52,cellular,apr,238,323,2,no
47,cellular,nov,110,-1,0,no
52,unknown,may,144,-1,0,no
30,cellular,may,1130,-1,0,no
33,cellular,jul,132,-1,0,no
35,telephone,nov,1441,-1,0,no
39,cellular,jul,69,-1,0,no
28,telephone,may,40,349,6,no
30,unknown,may,614,-1,0,no
33,unknown,may,270,-1,0,no
34,cellular,jul,154,-1,0,no
47,cellular,may,577,368,1,no
42,cellular,may,79,-1,0,no
37,cellular,jun,101,-1,0,no
59,unknown,may,55,-1,0,no
27,unknown,may,205,-1,0,no
31,cellular,may,356,286,3,no
51,cellular,aug,60,-1,0,no
43,unknown,may,55,-1,0,no
38,cellular,jul,164,-1,0,no
37,telephone,may,42,-1,0,no
53,cellular,nov,77,-1,0,no
41,cellular,jul,80,-1,0,no
48,cellular,nov,81,-1,0,no
49,unknown,jun,29,-1,0,no
55,cellular,aug,200,-1,0,no
38,unknown,jun,430,-1,0,no
58,telephone,mar,58,-1,0,no
34,cellular,aug,279,117,1,no
53,cellular,jul,332,-1,0,no
50,cellular,aug,510,2,5,no
30,cellular,apr,218,330,2,no
35,cellular,feb,82,-1,0,no
57,cellular,oct,676,-1,0,no
40,cellular,may,1259,333,18,no
41,cellular,nov,285,116,4,no
53,cellular,may,298,-1,0,no
48,cellular,jul,225,-1,0,no
32,cellular,may,80,268,2,no
46,cellular,jul,404,-1,0,no
32,unknown,may,64,-1,0,no
31,cellular,may,8,267,4,no
31,cellular,may,164,-1,0,no
34,telephone,may,259,-1,0,no
32,cellular,may,121,-1,0,no
41,cellular,may,56,-1,0,no
26,cellular,jul,103,-1,0,no
27,cellular,jan,283,-1,0,no
27,cellular,may,113,337,2,no
46,cellular,nov,344,-1,0,no
31,cellular,feb,159,271,1,no
36,unknown,may,177,-1,0,no
57,cellular,feb,223,76,4,no
37,unknown,jun,45,-1,0,no
48,cellular,jul,114,-1,0,no
38,telephone,apr,5,150,6,no
47,telephone,jan,66,241,1,no
35,cellular,aug,135,-1,0,no
42,cellular,sep,99,-1,0,no
59,cellular,jul,464,-1,0,no
38,unknown,jun,20,-1,0,no
50,cellular,jul,206,-1,0,no
50,cellular,apr,736,-1,0,no
55,unknown,jun,64,-1,0,no
31,cellular,feb,73,-1,0,no
58,unknown,jun,199,-1,0,no
38,cellular,aug,310,-1,0,no
32,cellular,jul,99,-1,0,no
40,unknown,may,62,-1,0,no
59,cellular,jan,219,259,5,no
44,unknown,may,397,-1,0,no
41,unknown,jun,286,-1,0,no
38,cellular,jul,188,-1,0,no
22,telephone,may,25,-1,0,no
41,telephone,jul,121,-1,0,no
33,unknown,may,717,-1,0,no
46,cellular,aug,71,-1,0,no
31,cellular,jul,37,-1,0,no
48,cellular,jul,38,-1,0,no
42,cellular,aug,60,-1,0,no
49,unknown,jun,92,-1,0,no
38,telephone,jan,208,247,2,no
34,cellular,oct,104,85,19,no
38,unknown,jun,29,-1,0,no
58,cellular,aug,156,-1,0,no
26,cellular,sep,57,-1,0,no
49,unknown,may,84,-1,0,no
43,unknown,may,114,-1,0,no
32,unknown,jul,957,-1,0,no
54,unknown,jun,67,-1,0,no
33,cellular,jul,211,-1,0,no
35,cellular,aug,299,-1,0,no
56,cellular,may,102,349,1,no
57,unknown,may,225,-1,0,no
33,cellular,may,234,-1,0,no
37,cellular,may,432,-1,0,no
51,unknown,may,627,-1,0,no
37,cellular,may,500,-1,0,no
33,cellular,aug,22,-1,0,no
30,cellular,nov,258,-1,0,no
31,cellular,nov,177,-1,0,no
28,unknown,may,62,-1,0,no
38,cellular,nov,75,177,5,no
50,cellular,jul,184,-1,0,no
45,telephone,may,119,371,3,no
48,cellular,mar,77,-1,0,no
41,cellular,jul,107,-1,0,no
41,unknown,may,87,-1,0,no
40,unknown,may,660,-1,0,no
36,cellular,nov,107,-1,0,no
40,telephone,jul,201,-1,0,no
28,cellular,jan,94,205,2,no
49,cellular,jan,185,246,1,no
49,cellular,aug,285,-1,0,no
31,cellular,may,142,-1,0,no
49,cellular,aug,504,-1,0,no
31,cellular,nov,222,-1,0,no
40,cellular,may,50,-1,0,no
51,unknown,may,117,-1,0,no
