A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,Class
64,44,64,32,0.4,36,20,0.6,-16.5,44,56,1
48,52,60,36,1.2,52,36,0.3,-5,52,56,1
0,56,56,52,1.7,56,36,1.1,-12.7,48,32,10
0,48,48,48,0.4,44,28,0.7,-13.4,44,40,1
48,52,44,20,-0.6,88,32,0.3,49.6,52,60,10
64,60,52,40,0.6,48,20,0.2,-13,60,24,2
0,56,48,48,1.3,52,40,1.3,-25.8,48,44,2
72,52,64,24,1.1,56,40,-1.4,23.2,48,56,2
32,32,36,32,-0.1,132,88,-0.4,133.9,84,56,10
48,48,84,24,-0.1,56,40,0.2,9.6,48,36,10
56,48,56,28,1.7,56,44,2.2,6,48,40,1
0,76,40,44,-0.4,56,44,-0.3,-20.2,48,72,15
68,36,56,24,0.4,40,24,0.6,-24.5,40,56,1
48,48,80,28,0,40,24,-0.1,-6.7,48,40,6
0,28,48,20,1,0,0,1.5,-18.9,0,0,3
48,44,48,40,0.9,44,28,0.7,-11.7,44,52,2
44,40,44,40,0.5,44,32,1,-15.8,52,28,1
68,44,56,36,0.8,0,0,3.6,-111.7,28,56,16
76,68,72,44,-0.2,44,28,0,-12.6,44,36,6
80,44,72,28,1.6,56,40,0.9,-19.4,44,40,2
44,44,36,24,0.8,36,24,1.3,-30.8,36,44,7
56,56,64,32,0.5,32,16,0.8,-25.5,60,28,1
72,44,44,28,0.8,36,24,0.9,-35.9,44,56,1
52,32,52,40,0.1,44,32,0.1,-17.2,40,96,10
32,36,32,20,-2.1,36,24,-1.5,10.6,36,80,10
48,48,48,24,0.1,36,24,0.5,-19.6,48,48,1
0,40,40,44,0.9,32,20,1,-5.8,40,20,1
32,24,20,32,-1.7,32,16,-1.3,10.5,36,80,5
52,40,44,24,0.4,48,36,1.3,-14.9,44,44,1
0,40,36,40,0.6,56,40,1.4,-5.6,44,44,1
40,48,36,24,0.5,32,24,0.4,-32.5,40,60,10
32,32,28,20,1.2,24,16,2.3,-22.3,32,24,5
44,48,32,28,1.5,44,28,3.1,-34.3,48,36,1
48,48,68,28,0.9,44,28,0.6,-17.4,44,52,2
80,52,56,32,2,56,44,1.3,-20.6,56,60,2
32,40,44,20,0.5,48,32,1.8,-1.2,44,40,10
44,44,44,20,0.4,48,28,0,-5.4,52,40,1
56,48,52,28,0.5,52,36,-0.3,3.9,48,52,10
40,40,52,52,1.3,0,0,1.3,-25.2,40,28,7
68,52,60,28,1.1,52,32,0.8,6,56,32,1
0,32,36,36,0.5,40,28,0,-14.4,36,44,2
0,44,68,48,0.2,40,44,-0.1,-0.7,36,44,1
0,40,48,48,0.1,44,32,0.4,-15.7,44,44,1
56,44,40,40,0.1,52,36,2.1,-43.8,48,48,16
52,44,48,44,1.1,48,32,2.3,-22.4,44,40,1
44,40,44,40,0.6,60,44,1,14,40,32,10
44,44,40,24,0.1,40,20,0.6,-10.9,44,48,1
40,48,0,28,-0.4,36,24,0.1,-5,48,20,10
48,48,44,24,0.4,48,28,0.1,-13.8,48,40,1
48,52,44,28,1,56,36,1.1,-6,60,32,1
0,36,64,40,1.7,28,16,1.9,-26.6,36,36,1
48,44,40,28,0.9,52,28,2.6,-31.2,48,40,16
56,48,40,28,0.5,32,20,1.3,-17.5,44,52,10
40,40,40,20,0.1,44,28,0.6,-1.5,40,52,1
52,48,52,40,0.9,52,28,0.1,-4.5,48,36,6
44,48,48,36,0,52,28,0.5,10.7,64,32,10
48,44,48,20,0.2,40,24,1.5,-25.1,40,24,1
48,44,40,44,0.3,52,32,1.5,-16.7,44,40,10
52,48,80,28,0.6,48,32,2,4.6,48,36,1
40,44,20,24,0.4,20,12,0.2,-14.1,36,60,5
52,44,52,28,0.3,44,28,0.4,-4.2,48,48,1
60,64,68,32,1.5,36,24,0.6,-9.8,76,0,1
48,52,68,28,1.1,44,28,1.5,-45,48,32,2
0,36,48,52,0.9,44,32,0.6,-16,48,56,1
44,48,64,28,0.5,56,44,0.8,-37.3,52,44,10
0,0,36,44,1.7,36,12,3.4,-19.4,16,68,16
52,44,40,44,1.1,36,24,1.9,-46.9,44,48,1
44,48,76,36,2,0,0,2.3,-17.6,40,52,3
76,52,72,28,1,52,32,1.2,-25.5,48,40,2
52,52,68,32,1.1,28,20,1.7,-50.9,40,40,6
0,72,44,28,0.8,44,28,-2,-46.1,48,0,2
64,52,60,32,0.2,48,32,-0.3,-4.8,52,36,2
80,44,68,32,1.1,0,0,3,-78.9,0,0,3
80,40,64,24,0.8,32,20,1.6,-46.1,36,56,16
48,44,48,24,0.2,52,32,0.5,-3.5,48,20,10
48,48,56,28,1,48,32,0.4,-12.3,44,64,6
0,52,76,32,0.9,68,52,1,1.2,56,48,1
0,44,36,20,1.3,44,28,2.2,-31,52,52,2
0,44,52,48,3.1,52,40,3.1,-36.6,44,40,2
0,44,28,24,0.2,52,36,-0.4,2.7,48,60,2
0,36,40,40,0.8,36,24,1.4,-39.9,44,48,1
120,116,128,60,4.3,28,16,8,-133,44,100,9
44,48,40,28,0.5,36,20,0.5,-22.7,44,44,1
52,48,48,28,0.4,48,32,0.1,-27.9,48,40,2
0,40,48,24,0.1,48,36,0,-16.9,40,48,1
48,36,56,40,0.5,52,32,0.8,1.4,44,40,5
44,44,48,28,0,40,24,-0.1,-10.6,44,44,2
28,44,48,24,0,44,32,0.1,-11.8,44,64,8
40,44,44,28,0.1,40,20,0.6,-6.7,44,40,1
48,52,40,28,0.4,52,32,0.7,-5,52,40,1
36,36,36,32,-1.4,44,24,-2.1,33.4,76,0,10
36,44,40,24,0.4,40,28,0.6,-11.5,44,52,16
44,48,24,28,0.5,0,0,1.8,-84.8,24,20,3
60,52,52,28,0.7,52,36,1.3,-17.8,48,40,1
0,44,40,40,0.9,52,36,0.7,4.9,48,44,1
52,48,44,32,0.9,36,24,2,-56.6,48,44,6
64,56,92,28,0.6,36,20,1.8,-33,48,40,1
44,48,36,24,0.9,32,20,1.9,-30.4,44,48,16
0,44,40,48,0,40,20,0,-15.9,40,36,5
136,120,156,72,16.6,76,48,10,-130.2,88,108,9
64,52,72,24,0.5,48,32,-0.2,-5.1,48,60,1
40,40,44,20,0.1,36,24,0.1,-12.5,36,48,1
52,44,40,40,0.7,44,28,2.7,-43.5,48,44,1
60,56,64,32,-0.1,56,36,0,3.1,56,40,1
52,52,48,28,1,28,16,3,-59,60,8,1
40,36,40,20,1,36,24,0.9,-21.8,36,60,1
108,40,120,60,3.8,20,12,5.7,-149.5,32,96,9
0,40,44,36,0.8,48,36,2,-6.5,44,32,1
56,72,48,24,0.1,60,44,0.5,11.4,72,40,10
48,44,68,28,1.8,0,0,2.1,-14.9,40,52,3
40,44,40,24,0.1,40,28,0.2,-7.7,40,60,1
72,48,72,28,0.6,44,28,1.5,-24.6,48,52,10
0,32,40,40,0.1,44,32,0.8,-31.6,36,36,14
64,44,56,28,0.7,40,24,0.9,-17.5,36,44,1
24,32,16,16,-4.5,36,52,-1.5,-10.8,44,124,5
68,44,44,40,-0.2,52,28,0.2,8.9,48,16,1
48,44,40,24,0.1,40,24,0.4,-20.2,48,36,1
68,52,64,28,0.5,48,28,0.9,-14.7,48,40,1
80,52,56,28,2.2,64,44,4.1,-23.5,60,36,1
44,40,40,24,0.4,36,24,0.6,-18.5,40,60,1
68,36,68,40,0.2,44,28,0.1,-16.4,44,44,16
0,40,56,40,1.2,60,44,1.3,31.2,52,52,4
48,48,56,28,1.5,48,32,0.8,-14.7,48,44,2
72,40,68,48,0.8,44,32,1.2,3.3,56,24,16
44,40,40,32,-0.1,56,40,0.5,-16.8,48,36,1
64,60,56,32,1.1,32,20,2.1,-53.2,56,32,1
0,36,44,40,1,48,32,1.7,-21.5,44,32,1
52,48,52,40,0.9,44,32,1,-24.4,48,36,1
48,52,48,32,0.9,24,16,1.4,-49.3,40,56,10
0,36,56,32,0.5,40,28,0.9,-10.8,40,48,1
48,40,52,40,0.8,36,24,2.3,-36.6,56,20,1
52,48,48,28,0.3,40,24,-0.8,-13.8,48,48,15
64,52,64,32,0.6,52,40,0.5,-21.8,48,52,1
56,52,60,28,0.4,56,28,0.9,-26.8,60,40,1
44,44,80,24,0,44,32,0.5,-15.6,40,60,1
76,40,124,40,2.5,28,20,5.7,-151.5,32,88,9
64,48,68,28,1.4,48,24,3,-21,44,24,1
48,52,64,28,0.4,36,20,1.1,-18.1,48,24,1
0,36,36,36,0.1,48,36,1.5,-21.7,44,80,10
72,52,60,28,0.7,32,16,0.5,-20.8,48,52,1
44,60,36,20,1.2,64,48,1.4,-1.4,64,20,16
0,32,36,40,-1.4,36,24,0,4.4,52,72,10
52,48,44,28,0.7,48,24,0.7,-20.8,48,40,6
40,40,40,20,-0.5,32,20,0.2,12.2,40,40,10
28,32,52,16,0.1,0,0,0.1,-9.9,28,60,3
40,40,80,36,1.9,52,40,3.3,-31.2,44,36,1
72,52,52,28,0.8,52,36,1.4,-3.1,52,36,1
0,40,44,36,0.5,48,32,1,-2.5,44,20,1
88,44,44,28,0.9,32,20,1.6,-37.4,40,48,1
48,48,64,36,0.9,44,28,0.8,-7.9,48,44,1
60,44,36,28,0.6,56,40,0.8,-25.2,44,56,1
48,40,40,40,0.6,36,24,0.8,-15.3,56,48,1
52,68,48,48,0.3,60,36,0.7,-21.6,68,20,1
40,44,36,28,0.6,48,32,1,6.6,48,40,1
48,52,40,40,0.3,44,28,0.1,7.7,52,36,10
40,44,48,24,0.7,40,24,2.4,-25.3,44,24,1
32,40,32,24,0.4,32,16,0.5,-23.3,48,52,1
52,52,48,28,0.2,72,56,1.1,-13.6,52,36,1
40,40,52,24,0.6,28,16,1,-22.5,32,48,1
48,52,44,28,1,56,36,1.7,-14.3,64,20,10
36,48,40,32,-1.8,44,32,-4.1,72.9,52,68,2
72,48,56,36,1,44,28,2,-16.8,52,40,1
48,52,44,32,0.4,48,32,-0.4,13.5,48,40,1
