R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Class
0.03,0.01,0.01,0.02,-0.04,-0.07,-0.1,6.88,1.1,0.36,0
0.04,0.02,0.01,0.01,-1.4,-0.42,-0.3,0.35,0.27,0.19,0
0.26,0.06,0.14,0.26,0.07,0.15,0.27,3.39,1.45,0.35,0
0.07,0.01,0.03,0.06,0.02,0.06,0.11,2.96,1.6,0.25,0
0.17,0.02,0.06,0.08,0.02,0.04,0.05,14.62,1.43,0.2,0
0.29,0.04,0.1,0.14,0.02,0.04,0.06,4.51,1.88,0.26,0
0.15,1,0.06,0.08,0.26,0.01,0.02,4.54,1.48,10.18,0
0.09,0.03,0.04,0.06,-0.06,-0.09,-0.13,3.55,1.58,0.47,0
0.02,0,0.01,0.01,0.01,0.05,0.06,21.82,1.1,0.11,0
0.08,0.04,0.05,0.07,0.09,0.12,0.17,2.16,1.58,0.74,0
0.12,0.02,0.04,0.06,0.01,0.02,0.03,2.85,1.81,0.33,0
0.04,0.01,0.02,0.03,-0.05,-0.07,-0.1,3.07,1.49,0.53,0
0.05,0.04,0.03,0.04,0.03,0.02,0.03,2.91,1.36,1.09,0
0.07,0.02,0.04,0.05,-0.01,-0.02,-0.02,2.85,1.6,0.6,0
0.09,0.04,0.05,0.07,-0.06,-0.08,-0.11,2.92,1.3,0.53,0
0.05,0.01,0.02,0.03,0.35,0.49,0.68,3,1.74,0.44,0
0.02,0.02,0.02,0.02,0.16,0.14,0.16,8.46,0.89,0.85,0
0.1,0.02,0.02,0.02,-0.05,-0.06,-0.06,4.4,1.89,0.37,0
0.08,0.04,0.02,0.03,0.32,0.13,0.22,5.2,0.82,0.42,0
0.1,0.02,0.02,0.04,-0.01,-0.01,-0.02,8.91,1.17,0.24,0
0.11,0.06,0.05,0.07,0.01,0.01,0.01,2.73,1.63,0.94,0
0.03,0.01,0.01,0.02,0.02,0.02,0.03,5.04,1.25,0.36,0
0.15,0.01,0.07,0.08,-0.02,-0.1,-0.12,10.78,1.13,0.1,0
0.19,0.04,0.12,0.18,0.03,0.1,0.15,113.54,1.36,0.29,0
4.92,0.91,0.31,0.97,0.45,0.15,0.48,7.43,6.22,1.15,1
0.26,0.07,0.12,0.17,0,0.01,0.01,6.13,1.57,0.39,1
0.07,0.01,0.02,0.03,0.12,0.21,0.46,3,3.25,0.39,1
1.21,0.22,0.25,0.35,-0.04,-0.05,-0.06,2.52,3.35,0.6,1
0.18,0.02,0.02,0.04,0.05,0.06,0.09,6.79,2.21,0.26,1
0.13,0.03,0.04,0.09,0.13,0.19,0.42,2.79,2.01,0.44,1
0.16,0.07,0.04,0.07,0.39,0.24,0.35,11.12,0.58,0.26,1
0.37,0.05,0.07,0.14,0.03,0.04,0.08,3.6,2.49,0.37,1
0.35,0.05,0.11,0.35,0.01,0.02,0.06,3.77,2.74,0.41,1
0.08,0.03,0.03,0.07,0.06,0.08,0.16,1.86,2,0.67,1
0.29,0.06,0.09,0.09,-0.4,-0.6,-0.61,4.04,2.93,0.58,1
0.78,0.07,0.19,0.78,0.01,0.02,0.08,5.74,2.62,0.23,1
0.09,0.02,0.04,0.06,0.05,0.09,0.14,4.36,1.64,0.38,1
1.45,0.18,0.24,0.45,0.09,0.13,0.23,3.63,3.98,0.5,1
0.17,0.02,0.03,0.08,0.12,0.18,0.47,2.63,3.54,0.45,1
0.32,0.06,0.05,0.06,0.14,0.1,0.13,14.41,1.35,0.26,1
0.58,0.06,0.12,0.28,0.06,0.1,0.25,4.08,3.25,0.35,1
0.21,0.03,0.06,0.09,0.08,0.13,0.21,4.12,1.61,0.27,1
0.27,0.03,0.05,0.12,0.05,0.08,0.19,3.85,2.77,0.35,1
0.04,0.01,0.01,0.02,0.03,0.05,0.09,5.24,2.12,0.31,1
1.07,0.11,0.26,0.92,0.03,0.07,0.23,4.52,3.47,0.36,1
0.13,0.01,0.08,0.11,-0.01,-0.04,-0.05,21.32,1.02,0.11,1
0.05,0.01,0.01,0.02,0.21,0.16,0.29,11.45,1.36,0.32,1
0.23,0.07,0.05,0.07,0.28,0.17,0.28,19.91,1,0.32,1
0.25,0.04,0.07,0.25,-0.08,-0.14,-0.5,2.03,3.33,0.51,1
0.58,0.08,0.13,0.36,0.08,0.12,0.35,2.16,3.14,0.46,1
0.39,0.04,0.07,0.17,-0.08,-0.13,-0.3,2.95,4.16,0.46,1
0.82,0.07,0.21,0.51,0.01,0.03,0.07,38.36,2.16,0.19,1
1.75,0.28,0.64,1.38,0.07,0.11,0.42,0,2,0.32,1
0.07,0.05,0.01,0.01,0.31,0.08,0.1,0,0.68,0.45,1
0.26,0.03,0.07,0.2,0.07,0.14,0.4,3.27,2.36,0.3,1
0.26,0.02,0.05,0.11,0.07,0.17,0.35,42.56,1.14,0.1,1
0.12,0.02,0.04,0.09,0.11,0.17,0.4,2.22,2.11,0.43,1
0.79,0.07,0.05,0.79,0.11,0.08,1.16,1.65,9.48,0.87,1
0.33,0.03,0.09,0.23,0.03,0.08,0.19,3.74,2.17,0.22,1
0.55,0.07,0.1,0.22,0.01,0.02,0.04,4.52,3.18,0.38,1
0.26,0.02,0.04,0.12,0.02,0.03,0.1,3.94,4.95,0.37,1
0.7,0.08,0.11,0.7,0.1,0.15,0.96,1.74,4.64,0.5,1
0.75,0.11,0.15,0.34,0.08,0.11,0.24,6.64,1.83,0.27,1
0.12,0.06,0.05,0.07,0.08,0.06,0.09,1.84,2.23,1.2,1
1.09,0.12,0.33,0.64,0.04,0.12,0.23,4.45,2.91,0.32,1
0.27,0.06,0.08,0.23,0.14,0.18,0.5,18.21,1.37,0.32,1
0.61,0.05,0.14,0.3,0.04,0.09,0.2,14.63,2.22,0.2,1
0.12,0.03,0.02,0.03,-0.1,-0.07,-0.1,0,1.5,0.4,1
0.15,0.02,0.03,0.1,0.03,0.04,0.11,3.76,2.55,0.42,1
0.1,0.03,0.05,0.07,0.03,0.06,0.09,3.97,1.47,0.41,1
0.19,0.03,0.09,0.17,0.08,0.24,0.43,5.77,1.36,0.22,1
0.45,0.05,0.15,0.38,0,0.01,0.03,3.9,2.11,0.25,1
0.29,0.04,0.09,0.13,0.02,0.06,0.08,3.92,1.98,0.25,1
0.27,0.12,0.16,0.24,0.1,0.13,0.2,2.71,1.23,0.58,1
0.34,0.02,0.11,0.34,0.01,0.04,0.14,16.34,1.81,0.12,1
0.21,0.04,0.05,0.2,0.08,0.1,0.38,1.8,2.74,0.55,1
0.13,0.01,0.05,0.08,0.02,0.08,0.14,4.16,2,0.21,1
0.28,0.04,0.08,0.24,0.01,0.03,0.09,5.52,2.7,0.35,1
0.19,0.03,0.04,0.07,0.04,0.06,0.11,3.21,2.76,0.41,1
0.36,0.12,0.14,0.32,0.07,0.08,0.19,4,1.96,0.66,1
0.02,0.01,0.01,0.02,0,0,-0.01,2.92,1.64,0.52,1
0.18,0.01,0.07,0.12,0.02,0.08,0.14,10.12,1.41,0.11,1
0.1,0.02,0.08,0.1,0.01,0.03,0.03,77.99,1.16,0.21,1
1.87,0.33,0.24,0.65,0.25,0.18,0.48,5.68,3.02,0.53,1
0.15,0.01,0.03,0.06,0.05,0.1,0.2,3.4,4.12,0.37,1
0.27,0.03,0.07,0.1,0.09,0.18,0.26,7.58,2.24,0.28,1
0.32,0.03,0.03,0.09,0.05,0.06,0.16,3.24,5.44,0.46,1
0.08,0.01,0.02,0.05,0.04,0.07,0.15,3.82,2.41,0.37,1
0.14,0.01,0.05,0.07,0.02,0.09,0.14,8.18,1.57,0.11,1
0.26,0.07,0.12,0.17,0,0.01,0.01,6.13,1.57,0.39,1
