pctFgnImmig-3,pctFgnImmig-5,pctFgnImmig-8,pctFgnImmig-10,pctImmig-3,pctImmig-5,pctImmig-8,pctImmig-10,pctSpeakOnlyEng,pctNotSpeakEng,pctLargHousFam,pctLargHous,persPerOccupHous,persPerOwnOccup,persPerRenterOccup,pctPersOwnOccup,pctPopDenseHous,pctSmallHousUnits,medNumBedrm,houseVacant,pctHousOccup,pctHousOwnerOccup,pctVacantBoarded,pctVacant6up,medYrHousBuilt,pctHousWOphone,pctHousWOplumb,ownHousLowQ,ownHousMed,ownHousUperQ,ownHousQrange,rentLowQ,rentMed,rentUpperQ,rentQrange,medGrossRent,medRentpctHousInc,medOwnCostpct,medOwnCostPctWO,persEmergShelt,persHomeless,pctForeignBorn,pctBornStateResid,pctSameHouse-5,pctSameCounty-5,pctSameState-5,landArea,popDensity,pctUsePubTrans,pctOfficDrugUnit,class
13.45,17.65,26.05,26.05,0.12,0.16,0.24,0.24,91.11,0.42,3.61,2.46,2.43,2.62,1.88,80.28,0.94,38.26,3,180,96.65,74.48,0,40.56,1956,1.5,0.65,39700,53200,68900,29200,171,232,303,132,293,24.9,15.8,11.5,0,0,0.91,83.77,61.36,80.63,93.19,8.9,1481.2,0.08,0,1
10.1,10.96,23.77,35.22,0.26,0.29,0.62,0.92,95.05,0.69,3.71,2.75,2.62,2.79,2.08,80.79,1.43,42.87,3,624,94.85,75.86,2.08,25.96,1969,0.35,0.35,73100,87800,106700,33600,376,473,569,193,512,26.9,21.2,12,0,0,2.62,77.05,55.61,81.72,92.71,17.9,1724.8,3.35,0,1
9.38,11.7,17.12,27.01,0.49,0.61,0.89,1.41,90.41,0.92,4.08,3.15,2.73,2.86,2.29,79.94,1.23,32.43,3,629,96.21,76.15,0.16,29.89,1960,0.89,0.13,128000,143400,164700,36700,394,563,676,282,668,24.8,22.6,13.1,8,1,5.22,47.43,60.3,83.68,88.85,34.6,1314.3,1.28,0,1
30.33,41.41,50.77,60.4,13.71,18.71,22.94,27.29,46.84,15.46,6.98,4.6,2.59,2.63,2.56,39.38,18.31,75.17,2,3510,95.13,38.71,2.25,17.69,1962,1.53,0.46,249800,343600,469800,220000,511,626,763,252,688,30.5,25.3,11.6,82,17,45.19,29.68,37.69,73.29,76.85,31.7,5677.3,4.15,5.88,1
11.79,16.19,26.85,28.84,0.56,0.77,1.27,1.37,94.75,0.53,2.47,1.9,2.6,2.69,2.14,85.62,0.43,18.79,3,164,97.14,82.53,0.61,30.49,1963,0.18,0.21,89100,117500,148000,58900,303,394,502,199,465,24.6,18.7,11.4,10,0,4.73,58.81,59.75,85.21,89.74,5.8,2552.7,1.96,0,1
19.03,30.13,44.66,56.86,1.45,2.3,3.41,4.35,87.44,2.2,4.07,2.8,2.58,2.89,2.25,58,4.95,47.54,3,12116,89.26,51.84,1.81,27.45,1978,5.5,0.14,64100,82800,110200,46100,312,382,469,157,444,23.7,22,11.8,47,1,7.64,51.54,36.76,67.01,84.09,96.4,2716.3,0.14,7.87,2
13.98,22.48,28.95,36.92,0.37,0.59,0.76,0.96,94.19,0.56,3.3,2.51,2.72,2.95,2.08,79.9,1.21,40.32,3,1255,93.6,73.63,0.08,14.5,1979,0.29,0.14,97700,127400,167500,69800,506,578,663,157,611,22.9,21.7,11.5,0,0,2.61,63.24,43.01,76.47,85.75,34.1,1491.7,2.64,0,1
15.87,25.51,36.37,45.77,4.51,7.26,10.34,13.02,59.04,9.84,9.16,5.71,2.54,2.8,2.43,31.59,12.3,73.76,2,172768,94.23,28.64,4.83,40.33,1946,7.33,1.25,149700,189600,244600,94900,320,448,615,295,496,25.7,21.8,14.1,23383,10447,28.45,53.09,63.06,82.76,89.78,320.1,22878.2,54.33,6.91,2
12.27,18.31,29.88,43.12,2.25,3.36,5.48,7.91,71.79,4.31,7.26,6.07,3.05,2.8,3.18,31.74,11.94,55.65,2,353,95.73,34.5,0.57,3.12,1976,1.62,0.24,150800,172500,196500,45700,512,607,689,177,666,31.6,23.3,12.3,0,0,18.34,24.24,26.33,46.38,54.52,9.1,2917.9,1.93,0,2
23.14,23.14,34.57,37.77,0.71,0.71,1.07,1.17,93.31,1.23,1.9,1.18,2.32,2.61,2.02,58.03,1.26,56.02,2,545,90.47,51.73,1.28,34.31,1957,3.83,0.79,88900,117200,148400,59500,357,451,553,196,499,26.1,23.7,13.7,2,0,3.09,54.87,42.07,69.61,75.44,41.8,291.4,0.75,0,1
10.38,12.4,19.68,23.72,0.48,0.57,0.91,1.1,93.6,0.75,3.74,2.82,2.58,2.61,2.45,78.92,2.26,29.4,3,437,93.31,77.85,1.14,29.52,1972,2.03,0.08,61700,73900,92300,30600,371,457,508,137,543,24.5,20.9,11.3,0,0,4.63,28.32,45.19,75.45,81.03,10.1,1581.4,0.58,0,1
18.93,23.73,27.68,29.94,0.27,0.34,0.4,0.43,95.9,0.75,3.36,2.47,2.51,2.58,2.38,65.6,2.8,41.45,3,586,94.31,63.8,0.34,26.45,1976,8.04,0.4,44800,60300,75500,30700,252,302,373,121,389,24.8,19.6,11.7,0,0,1.43,40.4,39.82,70.19,77.43,23,1073.9,0,0,1
0.85,5.26,15.08,30.16,0.04,0.27,0.77,1.53,89.62,1.21,2.69,1.82,2.35,2.36,2.33,75.61,1.36,30.49,3,319,94.85,75.35,1.25,32.6,1953,0.87,0.24,83600,108900,146700,63100,445,529,632,187,675,20.2,18.5,12.1,0,0,5.08,60.71,57.14,86.99,94.36,3.7,3697.1,1.11,0,1
20.75,31.36,43.8,50.16,2.01,3.04,4.25,4.87,85.2,3.17,5.26,3.68,2.63,2.64,2.63,40.87,8.76,63.54,2,1560,95.47,40.71,1.47,11.03,1970,2.97,0.24,128100,158000,209600,81500,434,507,587,153,548,30.8,23.6,10.8,13,76,9.71,45.45,35.36,77.14,83.16,14.9,5943,2.17,0,2
27.63,30.07,38.71,40,1.71,1.86,2.39,2.47,83.37,2.94,5.93,4.1,2.55,2.71,2.29,66.4,4.87,47.7,3,321,93.07,62.56,2.18,38.94,1963,6.75,0.32,40000,53900,74800,34800,195,268,343,148,306,26.2,16.1,11.5,0,0,6.19,48.88,44.43,76.23,87.33,9.4,1189.1,0.09,0,2
0,5.88,26.2,28.34,0,0.04,0.17,0.19,98.41,0.18,7.83,5.91,2.83,2.88,2.77,58.69,6.3,43.55,3,626,94.04,57.74,8.31,28.75,1967,12.35,1.08,38900,50900,69100,30200,155,248,318,163,343,29,20.5,14.1,13,0,0.66,53.03,52.14,82.37,88.6,14.9,1900.7,0.1,0,2
0,0,0,28,0,0,0,0.06,65.56,2.4,9,6.59,2.74,2.68,2.86,63.1,7.17,40.73,3,410,90.68,64.53,7.32,47.8,1963,14.35,0.64,24500,39100,56400,31900,114,165,226,112,261,28.6,23,15.3,0,0,0.22,93.09,62.57,89.93,98.48,4.8,2323.5,0.78,0,2
14.07,21.62,29.66,39.74,3.43,5.27,7.23,9.68,8.15,21.64,21.34,18.23,3.78,3.95,3.54,61.58,26.43,53.73,2,1969,94.21,58.96,6.4,42.25,1972,12.42,2.11,33700,52500,75000,41300,161,245,339,178,315,27.6,22.6,12.8,4,0,24.37,67.12,60.11,86.08,91.7,34.1,3608.7,3.55,4.26,2
10.56,18.96,21.6,25.28,0.64,1.14,1.3,1.53,78.98,2.49,4.07,2.62,2.33,2.45,2.21,53.56,1.79,36.94,3,713,92.49,50.94,2.1,59.05,1939,6.72,0.66,53400,71000,91900,38500,172,240,303,131,337,24.7,18.6,14.5,2,0,6.03,81.86,61.42,85.56,93.76,6.2,3353.7,2.6,0,1
2.61,4.9,14.05,18.95,0.07,0.13,0.36,0.49,95.94,0.24,3.62,2.78,2.77,2.9,2.27,83.55,1.2,38.37,3,134,96.69,79.89,0,42.54,1968,1.17,0.71,94100,119800,159000,64900,351,452,552,201,526,28,23.5,12.6,0,0,2.58,71.76,51.97,79.39,91.47,52.5,225.9,0.88,0,1
0,0,0,3.06,0,0,0,0.05,93.22,0.61,5.33,3.73,2.65,2.81,2.31,71.4,2.83,46.05,3,929,88.47,67.27,7.53,52.42,1972,3.51,0.81,55600,71800,89600,34000,210,282,359,149,348,19,17.5,11.3,5,0,1.72,48.45,54.59,83.65,89.98,19.1,998.4,5.76,0,2
14.24,20.59,30.64,37.7,1.16,1.68,2.5,3.08,86.3,3.08,5.56,4.07,2.67,2.62,2.73,55.37,7.42,49.8,3,185,95.98,56.37,1.08,21.08,1972,3.3,0.11,83000,108900,145000,62000,315,395,497,182,472,28.7,21.4,12.4,11,0,8.16,62.95,39.82,76.72,94.06,4.2,2853.3,0,0,1
11.6,26.52,26.52,37.02,0.13,0.31,0.31,0.43,96.9,0.68,6.31,4.4,2.54,2.46,2.63,50.62,5.05,46.78,3,429,93.34,52.29,4.9,45.45,1960,12.61,1.45,33800,50800,74400,40600,116,180,249,133,316,29.5,18.5,13.9,0,0,1.15,81.21,57.15,86.06,91.66,7.3,2134,0.11,0,2
6.76,16.87,18.66,33.19,0.48,1.21,1.34,2.38,84.6,2.25,10.56,8.94,3.27,3.29,3.19,82.83,6.06,22.51,3,193,96.66,82.4,3.63,26.42,1970,2.5,0.24,153000,203400,259300,106300,458,617,843,385,714,28.2,25.1,11.9,0,0,7.18,58.08,45.88,59.47,94.53,14.2,1641.4,0.27,0,2
19.6,32.8,44.4,44.4,0.11,0.18,0.25,0.25,97.37,0.21,11.3,8.31,2.91,2.89,2.93,57.98,9.73,45.71,3,1170,92.91,58.32,12.14,37.26,1965,11.02,0.83,29100,42500,60000,30900,132,207,295,163,332,32.3,21.1,15,6,0,0.55,84.59,59.55,88.62,93.77,27,1672.6,0.24,0,1
6.37,10.63,17.42,25.43,0.8,1.33,2.19,3.19,84,1.64,2.14,1.48,2.36,2.48,2.06,75.92,1.98,44.78,3,294,97.41,72.37,0.68,21.09,1957,0.56,0,328100,407500,500001,171901,611,744,972,361,810,26.6,27.7,11.9,0,0,12.55,55.31,58.4,82.21,92.84,5.8,4486.8,3.98,0,1
7.9,13.43,19.77,29.72,0.42,0.72,1.06,1.6,73.84,3.89,5.71,4,2.59,2.69,2.45,61.39,6.6,52.54,2,3958,88.57,59.21,1.64,34.69,1967,7.89,0.47,33000,48300,70200,37200,237,302,387,150,365,25.4,20.2,13,240,1,5.38,69.08,45.39,73.13,87.74,49.6,1702.6,0.68,11.61,1
4.77,4.77,4.77,8.79,0.07,0.07,0.07,0.13,95.79,0.45,3.99,2.74,2.47,2.56,2.32,66.48,1.45,44.54,3,649,94.47,64.26,3.39,42.84,1949,5.1,0.48,33800,44000,56500,22700,180,255,313,133,340,26.6,17,13.1,0,0,1.44,79.34,59.58,91.71,96.11,7.9,3513.5,1.91,0,2
11.7,14.75,21.88,32.78,0.27,0.34,0.5,0.76,91.4,1.35,9.52,6.52,2.76,2.91,2.61,52.36,6.93,55.71,2,1816,93.17,49.73,12.83,37.78,1954,8.97,0.46,27800,36300,45700,17900,257,362,448,191,436,30.5,17.2,14,132,3,2.31,66.2,51.8,86.51,92.67,20.7,3434.7,0.9,10.69,1
10.62,16.63,32.33,38.8,0.09,0.14,0.27,0.32,97.01,0.31,6.44,4.99,2.78,2.8,2.73,68.27,3.41,34.4,3,1495,92.53,67.75,9.83,47.22,1967,10.47,4.04,48700,70700,99400,50700,157,250,355,198,376,28.7,22.4,14.3,0,10,0.83,74.77,59.38,80.79,93.24,414.5,125.8,1.63,0,2
4.23,4.23,38.03,45.07,0.04,0.04,0.33,0.4,96.59,0.51,4.18,2.76,2.35,2.44,2.2,63.12,2.44,47.1,3,471,93.56,60.67,5.52,47.35,1959,6.58,0.52,37000,52700,84400,47400,183,255,317,134,320,23.7,18.9,13.2,17,3,0.88,74.95,61.23,81.36,92.68,11.4,1423.7,0,0,2
5.52,11.78,14.11,16.69,0.26,0.56,0.66,0.79,92.48,0.85,4.06,3.08,2.65,2.69,2.46,83.83,1.31,44.45,3,3878,86.55,82.54,0.72,60.24,1972,0.67,0.16,105300,133100,166800,61500,509,604,725,216,721,32.6,25.7,17.4,17,0,4.71,71.99,61.13,77.21,94.05,27.2,2441,1.75,0,1
17.67,20.76,26.83,31.89,1.97,2.32,3,3.56,88.52,2.03,2.54,1.37,2.08,2.23,1.84,64.34,2.34,59.3,2,1759,86.31,59.78,0.57,15.52,1960,0.39,0.44,343900,471300,500001,156101,652,859,1001,349,879,27.9,25.4,11.8,6,50,11.17,41.06,44.53,76.43,88.97,9,2575.6,1.97,0,2
0,3.26,6.83,20.96,0,0.16,0.34,1.05,15.13,14.64,18.52,15.67,3.56,3.53,3.63,68.41,20.25,50.24,2,554,86.6,68.98,25.81,75.63,1960,17.21,3.15,19200,30700,43700,24500,105,179,243,138,265,28.7,21.4,14,0,0,4.97,92.04,69.4,95.85,99.9,9.6,1345.2,1.23,0,1
7.98,16.5,19.82,26.68,0.28,0.58,0.69,0.93,94.47,0.95,4.93,3.49,2.63,2.85,2.18,73.05,2.55,48.64,3,888,96.46,67.43,0.79,19.26,1962,1.71,0.09,47200,57700,70400,23200,350,397,454,104,429,23,17.8,12.7,0,0,3.49,81.96,53.39,85.47,94.03,25.2,2539,0.59,0,1
25.32,25.32,32.91,32.91,0.26,0.26,0.34,0.34,96.83,0.61,4.2,3.17,2.76,2.98,2.17,78.24,1.63,37.23,3,144,97.4,72.34,0.69,20.83,1968,1.44,0.22,69500,83700,97400,27900,344,408,454,110,442,27.2,20.9,11.3,0,0,1.02,76.9,51.79,80.72,91.57,9.4,1641.9,1.69,0,1
0,0,0,0,0,0,0,0,98.98,0.28,2.28,1.67,2.44,2.49,2.34,68.9,1.88,43.88,3,472,94.03,67.53,4.66,35.38,1972,10.95,0.51,30500,41800,60000,29500,153,216,274,121,280,26,17.5,12.3,7,0,0.26,73.8,52.41,83.68,89.62,30.1,616.9,0.23,0,1
13.57,22.29,31.93,41.76,4.73,7.76,11.12,14.54,64.34,4.86,4.05,2.25,2.19,2.71,1.78,54.32,3.27,61.04,2,1159,92.63,43.85,1.38,31.23,1949,0.4,0.2,500001,500001,500001,0,660,902,1001,341,925,29.5,24,12.9,0,5,34.82,26.78,52.74,82.67,85.41,5.9,5437.2,4.31,4.76,2
7.16,12.29,17.41,20.7,0.74,1.26,1.79,2.13,88.61,0.8,3.36,2.43,2.5,2.71,1.8,83.68,0.56,22.15,3,135,97.45,77.25,0,42.96,1948,0.21,0,75900,90400,111900,36000,411,482,586,175,559,27.5,18.9,13.5,0,0,10.29,62.7,53.8,78.85,86.92,1.9,7812.2,5.81,0,1
0,13.67,16.02,31.64,0,0.1,0.12,0.24,97.7,0.24,4.6,3.24,2.56,2.63,2.45,63.17,1.68,40.38,3,1064,92.53,61.48,3.38,57.42,1945,12.2,0.81,24100,34500,48100,24000,185,232,284,99,337,25.6,16.3,12.9,4,0,0.75,81.01,53.95,85.45,93.41,8.3,4102.3,1.01,0,1
19.16,27.39,32.16,37.1,0.53,0.76,0.89,1.03,93.15,0.8,5.59,3.65,2.5,2.64,2.28,64.11,1.95,47.33,3,11242,92.09,60.65,13.37,48.67,1951,5.49,0.34,33800,48900,68500,34700,210,286,365,155,378,27.2,17,13.9,260,12,2.78,76.14,56.77,88,93.19,83.5,3988.5,3,4.39,2
16.38,24.3,33.12,42.58,1.08,1.61,2.19,2.81,86.31,2.63,8.48,5.42,2.56,2.75,2.25,66.55,4.69,42.28,3,71824,89.36,61.95,21.96,59.26,1939,4.25,0.88,27900,49400,77100,49200,252,358,483,231,452,29.8,19.3,14.8,3416,1069,6.61,73.58,64.33,88.86,92.65,140,11326,29.31,4.19,2
16.03,21.86,26.53,31.9,2.09,2.85,3.46,4.16,84.82,1.63,4.02,2.87,2.6,2.79,2.19,73.79,0.84,33.82,3,1042,96.58,68.91,0.29,38.58,1939,0.37,0.27,224100,293400,393800,169700,578,809,1001,423,884,25.2,20.9,13.1,196,0,13.03,55.34,60.43,75.1,85.9,18.7,4413,12.27,0,1
6.73,7.12,9.74,13.69,0.41,0.43,0.59,0.83,91.96,0.7,2.01,1.41,2.32,2.37,2.13,78.76,1.07,43.28,3,1487,89.52,76.93,0.81,27.37,1975,1.73,0.08,71000,91500,128900,57900,335,449,576,241,544,28.3,21.8,12.7,0,0,6.05,22.65,46.85,70.75,77.44,26.1,1137.7,0.77,0,1
30.69,43.05,47.02,50.54,0.51,0.72,0.79,0.85,96.8,0.35,3.95,2.64,2.39,2.52,2.21,61.35,1.83,47.28,3,2090,92.33,58.2,4.31,40.48,1960,7.07,0.29,38200,56900,80300,42100,179,272,353,174,346,24.7,16.9,12.6,47,0,1.68,70.07,52.6,73.84,86.06,51.2,1290.5,3.33,5.8,2
39.85,53.98,53.98,58.35,0.71,0.96,0.96,1.04,96.28,0.35,3.92,3.04,2.78,2.95,2.41,72.5,2.99,33.11,3,427,94.61,68.26,0.94,26.7,1976,2.6,0.37,60700,73400,92800,32100,292,350,413,121,438,25.6,18.1,12.3,0,0,1.78,70.21,46.9,75.27,88.08,24.7,885.5,0.24,0,1
16.48,19.78,23.08,23.08,0.11,0.14,0.16,0.16,97.25,0.44,5.24,3.37,2.36,2.37,2.36,52.36,3.97,57.54,2,994,91.36,52.26,2.41,49.4,1961,11.53,0.25,34000,53100,74600,40600,148,229,321,173,327,24.6,20.6,13.5,12,6,0.7,76.1,50.04,83.54,91.1,12.8,2042.4,0.88,0,2
10.48,21.81,32.28,44.56,0.49,1.02,1.5,2.08,89.97,1.19,4.66,3.62,2.81,2.99,2.5,67.55,4.75,36.41,3,3395,91.35,63.45,5.24,40.27,1977,3.79,0.16,52900,68700,87200,34300,334,397,483,149,469,24.3,21.3,12.7,0,4,4.66,67.97,43.88,83.76,92.25,44.4,2286.9,1.22,5.62,1
4.68,11.4,16.21,21.73,0.16,0.39,0.55,0.73,93.73,0.67,4.83,3.55,2.65,2.7,2.53,70.95,1.63,44.74,3,323,96.58,69.66,0.31,16.1,1955,1.03,0.15,45900,58800,72300,26400,261,397,496,235,479,22.7,18.7,11.4,0,0,3.38,70.72,57.89,85.21,94.8,5.1,4826.9,11.71,0,1
0,0,2.47,13.58,0,0,0.02,0.09,96.81,0.47,3.44,2.14,2.34,2.6,1.97,65.29,1.06,51.2,2,236,95.58,58.78,2.54,39.41,1952,2.55,0.56,34000,43600,55900,21900,191,266,334,143,329,27.1,18.6,13.6,0,0,0.64,78.91,54.71,84.7,92.48,10.2,1249.9,0.19,0,1
15.08,21.14,27.3,30.07,0.52,0.73,0.94,1.03,95.48,0.49,3.26,2.72,2.84,2.93,2.29,88.77,0.45,16.76,3,455,96.25,86.08,0.22,51.43,1968,0.35,0.07,79100,97100,125000,45900,388,467,584,196,577,22.9,19.1,11.6,0,0,3.43,56.09,57.26,68.76,84,26.7,1260.7,0.34,0,1
7.41,21.38,26.77,30.3,0.2,0.57,0.71,0.8,95.33,0.52,2.93,1.94,2.42,2.67,2.07,64.12,1.25,48.35,3,450,94.91,58.09,0.44,25.78,1954,4.6,0.33,90900,113000,142400,51500,346,481,595,249,542,29.7,23.7,15.5,1,0,2.65,48.31,47.1,71.82,79.59,38.6,580.3,0.03,0,1
3.85,3.85,11.54,11.54,0.04,0.04,0.11,0.11,97.24,0.48,3.26,2.66,2.69,2.72,2.51,83.85,1.2,32.59,3,132,97.29,82.69,2.27,40.91,1957,2.3,1.35,46700,66300,90100,43400,158,248,322,164,341,24.3,16.9,12.1,4,0,0.97,79.97,63.34,91.08,95.84,36.1,369.6,0.2,0,1
0,15.57,20.9,20.9,0,0.36,0.48,0.48,93.29,0.35,3.26,1.89,2.15,2.42,1.81,62.28,0.65,56.32,2,358,93.22,55.3,5.87,53.35,1940,1.91,1.15,30900,40900,56600,25700,256,316,386,130,402,24.4,20.1,13.8,0,0,2.29,89.14,64.43,92.84,95.93,1.2,8564.4,16.83,0,1
36.01,44.26,55.62,61.91,0.71,0.88,1.1,1.23,96.24,0.48,3.15,1.86,2.2,2.4,2.01,54.26,2.29,59.26,2,6480,91.52,49.86,7.04,33.72,1960,6.38,0.28,35900,49800,69600,33700,187,261,343,156,332,26.5,20.4,13.6,354,130,1.98,69.57,47.86,77.77,87.92,80,2063.3,1.93,10.26,2
20.93,34.88,34.88,61.63,0.33,0.55,0.55,0.98,96.9,0.81,1.49,0.95,2.24,2.5,2.05,47.84,1.7,65.02,2,314,93.81,42.9,1.27,21.66,1977,6.37,0.65,56900,80700,107200,50300,243,302,360,117,373,22.5,20.8,13.1,0,0,1.59,60.31,34.76,64.31,79.22,7.5,1451,0,0,1
12.43,17.65,25.72,39.62,0.5,0.71,1.04,1.6,94.3,0.71,2.84,1.97,2.47,2.71,1.92,77.03,1.41,42.58,3,1327,96.29,70.35,0.15,22.61,1967,0.63,0.18,82600,97500,127600,45000,465,545,647,182,574,25.8,20,11.3,0,0,4.04,66.76,54.64,82.23,90.48,36.8,2345.2,3.14,0,1
9.91,14.28,21.46,33.58,1.08,1.56,2.34,3.67,85.29,1.53,3.96,3.21,2.77,2.91,2.13,85.73,0.92,25.64,3,198,97.46,81.45,2.53,46.46,1957,0.41,0.28,168700,206900,284900,116200,618,702,813,195,782,23.5,21.1,15,0,0,10.92,58.63,70.79,81.71,90.89,9.4,2250.1,7.6,0,1
4.85,7.51,14.46,18.44,0.53,0.82,1.58,2.02,82.18,2.51,3.04,2.25,2.56,2.65,2.13,84.14,0.88,42.36,3,386,96.67,81,0.26,36.79,1964,0.25,0.19,139000,165800,195100,56100,515,649,732,217,716,24.7,21.5,12.8,0,0,10.94,66.78,64.52,90.85,93.45,13.7,2139.7,1.46,0,1
12.5,23.96,23.96,23.96,0.09,0.18,0.18,0.18,97.94,0.44,3.78,2.43,2.37,2.45,2.22,67.87,1.82,55.86,2,618,89.41,65.74,0.65,53.4,1954,10.58,0.58,19700,33200,52700,33000,134,188,242,108,277,25.3,18.1,13.4,0,0,0.75,75.46,50.83,77.48,88.98,10.5,1227.9,0.55,0,2
